Date,Opponent,Home/Away,Win/Loss,Score,Game Type,Attendance
2007-10-31,EA Sports,H,L,81-86,Exhibition,"8,595"
2007-11-03,Laval,H,W,100-46,Exhibition,"8,500"
2007-11-09,Southern Utah,H,W,60-49,Non-Conference,"9,499"
2007-11-10,Weber State,A,L,71-78,Non-Conference,"7,797"
2007-11-12,Montana Western,H,W,77-58,South Padre Invitational,"8,315"
2007-11-15,Cal Poly San Luis Obispo,A,L,69-83,Non-Conference,"2,475"
2007-11-17,UC Irvine,A,L,51-70,Non-Conference,"1,906"
2007-11-20,Austin Peay,H,W,71-68,South Padre Invitational,"7,900"
2007-11-23,Vanderbilt,N,L,56-77,South Padre Invitational,850
2007-11-24,Iowa,N,W,75-62,South Padre Invitational,900
2007-12-01,Santa Clara,H,W,71-65,Non-Conference,"9,345"
2007-12-05,Utah,A,L,48-72,Non-Conference,"10,829"
2007-12-08,Cal State Bakersfield,A,W,88-66,Non-Conference,"1,739"
2007-12-15,Prairie View A&M,H,W,77-51,Non-Conference,"6,303"
2007-12-20,Utah Valley,H,W,87-65,Gossner Classic,"7,097"
2007-12-21,Northern Arizona,H,W,78-62,Gossner Classic,"8,109"
2007-12-29,Oral Roberts,H,W,76-55,Non-Conference,"7,959"
2008-01-03,Hawai'i,H,W,86-80,Conference,"8,053"
2008-01-12,New Mexico State,H,W,74-62,Conference,"9,986"
2008-01-17,Boise State,H,W,82-78,Conference,"10,270"
2008-01-19,Idaho,H,W,79-64,Conference,"10,270"
2008-01-24,Louisiana Tech,A,W,71-61,Conference,"1,391"
2008-01-26,New Mexico State,A,L,70-100,Conference,"7,014"
2008-02-02,Nevada,H,W,77-63,Conference,"10,270"
2008-02-07,Fresno State,A,W,77-72,Conference,"11,030"
2008-02-09,San Jose State,H,W,78-73,Conference,"10,270"
2008-02-11,Nevada,A,L,80-85,Conference,"8,454"
2008-02-16,Hawai'i,A,L,66-71,Conference,"6,813"
2008-02-18,San Jose State,A,L,67-70,Conference,"1,634"
2008-02-22,UC Santa Barbara,H,W,72-59,BracketBuster,"10,270"
2008-02-28,Louisiana Tech,H,W,86-59,Conference,"10,270"
2008-03-03,Fresno State,H,W,79-66,Conference,"10,270"
2008-03-06,Boise State,A,W,88-69,Conference,"10,352"
2008-03-08,Idaho,A,W,78-58,Conference,"1,383"
2008-03-13,San Jose State,N,W,85-65,WAC Tournament,"4,628"
2008-03-14,Boise State,N,L,78-88,WAC Tournament,"9,893"
2008-03-19,Illinois State,A,L,57-61,NIT,"6,397"
