rank,team,conf,record,adjoe,oe Rank,adjde,de Rank,barthag,rank.1,proj. W,Proj. L,Pro Con W,Pro Con L,Con Rec.,sos,ncsos,consos,Proj. SOS,Proj. Noncon SOS,Proj. Con SOS,elite SOS,elite noncon SOS,Opp OE,Opp DE,Opp Proj. OE,Opp Proj DE,Con Adj OE,Con Adj DE,Qual O,Qual D,Qual Barthag,Qual Games,FUN,ConPF,ConPA,ConPoss,ConOE,ConDE,ConSOSRemain,Conf Win%,WAB,WAB Rk,"Fun Rk, adjt", new,Home/Away,Win/Loss,Season,USU_rank,USU_team,USU_conf,USU_record,USU_adjoe,USU_oe Rank,USU_adjde,USU_de Rank,USU_barthag,USU_rank.1,USU_proj. W,USU_Proj. L,USU_Pro Con W,USU_Pro Con L,USU_Con Rec.,USU_sos,USU_ncsos,USU_consos,USU_Proj. SOS,USU_Proj. Noncon SOS,USU_Proj. Con SOS,USU_elite SOS,USU_elite noncon SOS,USU_Opp OE,USU_Opp DE,USU_Opp Proj. OE,USU_Opp Proj DE,USU_Con Adj OE,USU_Con Adj DE,USU_Qual O,USU_Qual D,USU_Qual Barthag,USU_Qual Games,USU_FUN,USU_ConPF,USU_ConPA,USU_ConPoss,USU_ConOE,USU_ConDE,USU_ConSOSRemain,USU_Conf Win%,USU_WAB,USU_WAB Rk,"USU_Fun Rk, adjt",USU_ new
132,Weber St.,BSky,18-11,107.63468833857948,92,103.60472155822475,193,0.6079827952863512,132,18,11,13,3,13-3,0.4819310272002962,0.6504073218825559,0.3623737774793686,0.4819310272002962,0.6504073218825559,0.3623737774793686,0.8315280469160012,0.6935057195819431,103.923684529262,104.29290092173416,103.923684529262,104.29290092173416,109.67966791171824,104.09684429721996,111.57875424648525,110.27449047501077,0.5337529307692579,5,0.0293653126975707,1278.0,1124.0,1100.3749999999998,1.161422242417358,1.021469953424969,0,0.8125,-4.317594383624176,106,99,67.21216876995688,A,W,2010,24,Utah St.,WAC,26-8,116.25521810436076,17,96.14102552324094,59,0.8988649193727173,24,26,8,14,2,14-2,0.545568070925878,0.5129282099198311,0.5404443273644792,0.545568070925878,0.5129282099198311,0.5404443273644792,0.8372470097706841,0.8391184921250207,104.78884797535704,103.14258051267532,104.78884797535704,103.14258051267532,115.07724492071804,94.10911251678918,131.16298275455543,117.20623084580726,0.7847922193340507,2,-0.0705556194204808,1170.0,943.0,989.2625,1.1826992330144932,0.9532353647287752,0,0.875,-0.200673544039346,55,314,60.27588382503479
130,Utah,MWC,14-17,101.81417914994034,185,97.64680369304388,77,0.6178926683037891,130,14,17,7,9,7-9,0.610753448576576,0.5370550276103334,0.6562235363646616,0.610753448576576,0.5370550276103334,0.6562235363646616,0.7634953771308023,0.8400484205994697,106.07740296042732,100.83495056110496,106.07740296042732,100.83495056110496,100.1193131375774,94.8540910671716,104.08206846784088,98.42378027003792,0.6553903151766952,9,-0.031726219132544,1024.0,1040.0,1054.3375,0.9712260068526444,0.986401413209717,0,0.4375,-7.744421059717634,165,240,65.1112266396499,A,L,2010,24,Utah St.,WAC,26-8,116.25521810436076,17,96.14102552324094,59,0.8988649193727173,24,26,8,14,2,14-2,0.545568070925878,0.5129282099198311,0.5404443273644792,0.545568070925878,0.5129282099198311,0.5404443273644792,0.8372470097706841,0.8391184921250207,104.78884797535704,103.14258051267532,104.78884797535704,103.14258051267532,115.07724492071804,94.10911251678918,131.16298275455543,117.20623084580726,0.7847922193340507,2,-0.0705556194204808,1170.0,943.0,989.2625,1.1826992330144932,0.9532353647287752,0,0.875,-0.200673544039346,55,314,60.27588382503479
83,Northeastern,CAA,20-13,105.25383042741694,140,96.18659550133732,60,0.7380727997113329,83,20,13,14,4,14-4,0.5973046693192255,0.6904876801497911,0.5165005420275511,0.5973046693192255,0.6904876801497911,0.5165005420275511,0.8068394986367686,0.7606906234117173,105.3192334119,101.06292186900014,105.3192334119,101.06292186900014,105.22951049548912,92.42343581841293,114.2667623622041,100.629118084119,0.8117744983111442,6,-0.0040623022428964,1159.0,1002.0,1097.8,1.0557478593550738,0.9127345600291492,0,0.7777777777777778,-4.152187534160285,102,175,60.11509966780123,A,L,2010,24,Utah St.,WAC,26-8,116.25521810436076,17,96.14102552324094,59,0.8988649193727173,24,26,8,14,2,14-2,0.545568070925878,0.5129282099198311,0.5404443273644792,0.545568070925878,0.5129282099198311,0.5404443273644792,0.8372470097706841,0.8391184921250207,104.78884797535704,103.14258051267532,104.78884797535704,103.14258051267532,115.07724492071804,94.10911251678918,131.16298275455543,117.20623084580726,0.7847922193340507,2,-0.0705556194204808,1170.0,943.0,989.2625,1.1826992330144932,0.9532353647287752,0,0.875,-0.200673544039346,55,314,60.27588382503479
156,Idaho,WAC,13-16,104.45464936517808,145,103.17619609413164,185,0.5353460838060454,156,13,16,6,10,6-10,0.5435617164769588,0.4656376298355404,0.5855266100052952,0.5435617164769588,0.4656376298355404,0.5855266100052952,0.8291452295839745,0.8718197926598283,104.66440705371652,102.5816170905976,104.66440705371652,102.5816170905976,102.89794168812898,100.36943020755196,119.79781741223609,128.72962421549266,0.304290104709405,2,-0.0303698517791347,1079.0,1094.0,1047.9,1.0296784044279033,1.043992747399561,0,0.375,-9.406550687914825,195,239,64.98030446279009,H,W,2010,24,Utah St.,WAC,26-8,116.25521810436076,17,96.14102552324094,59,0.8988649193727173,24,26,8,14,2,14-2,0.545568070925878,0.5129282099198311,0.5404443273644792,0.545568070925878,0.5129282099198311,0.5404443273644792,0.8372470097706841,0.8391184921250207,104.78884797535704,103.14258051267532,104.78884797535704,103.14258051267532,115.07724492071804,94.10911251678918,131.16298275455543,117.20623084580726,0.7847922193340507,2,-0.0705556194204808,1170.0,943.0,989.2625,1.1826992330144932,0.9532353647287752,0,0.875,-0.200673544039346,55,314,60.27588382503479
325,Southern Utah,Sum,5-22,89.93637029457105,327,109.1117905434401,288,0.097738297061033,325,5,22,3,15,3-15,0.4349289097389086,0.5474553074805092,0.3786657108681081,0.4349289097389086,0.5474553074805092,0.3786657108681081,0.8732051601830364,0.7921774252505736,102.15323428354748,104.75061735065744,102.15323428354748,104.75061735065744,88.87858859429005,109.21270888318492,127.56008338277798,137.1332300395623,0.3031795531834907,2,0.0028014773874029,1128.0,1335.0,1240.875,0.909035962526443,1.0758537322453914,0,0.1666666666666666,-17.420085426841894,323,162,66.73696346824579,H,W,2010,24,Utah St.,WAC,26-8,116.25521810436076,17,96.14102552324094,59,0.8988649193727173,24,26,8,14,2,14-2,0.545568070925878,0.5129282099198311,0.5404443273644792,0.545568070925878,0.5129282099198311,0.5404443273644792,0.8372470097706841,0.8391184921250207,104.78884797535704,103.14258051267532,104.78884797535704,103.14258051267532,115.07724492071804,94.10911251678918,131.16298275455543,117.20623084580726,0.7847922193340507,2,-0.0705556194204808,1170.0,943.0,989.2625,1.1826992330144932,0.9532353647287752,0,0.875,-0.200673544039346,55,314,60.27588382503479
11,BYU,MWC,29-6,117.66195758391196,10,94.59062945159164,39,0.9248370611826792,11,29,6,13,3,13-3,0.59529686986081,0.5152713117915846,0.6178836621291868,0.59529686986081,0.5152713117915846,0.6178836621291868,0.7675719462594133,0.8085028955566077,105.27802359540044,100.99795199784488,105.27802359540044,100.99795199784488,114.44567124333864,91.50354808371269,118.85223174506888,102.69324403549278,0.8429771296377891,9,0.0208334876735362,1300.0,1053.0,1143.35,1.137009664582149,0.9209778283115408,0,0.8125,4.089488271330788,16,116,70.30581589194149,H,W,2010,24,Utah St.,WAC,26-8,116.25521810436076,17,96.14102552324094,59,0.8988649193727173,24,26,8,14,2,14-2,0.545568070925878,0.5129282099198311,0.5404443273644792,0.545568070925878,0.5129282099198311,0.5404443273644792,0.8372470097706841,0.8391184921250207,104.78884797535704,103.14258051267532,104.78884797535704,103.14258051267532,115.07724492071804,94.10911251678918,131.16298275455543,117.20623084580726,0.7847922193340507,2,-0.0705556194204808,1170.0,943.0,989.2625,1.1826992330144932,0.9532353647287752,0,0.875,-0.200673544039346,55,314,60.27588382503479
190,Mount St. Mary's,NEC,16-15,96.7883633466086,269,98.15172353260778,83,0.4598718329305318,190,16,15,12,6,12-6,0.370903426804046,0.6310720767997093,0.216605651732118,0.370903426804046,0.6310720767997093,0.216605651732118,0.8677135160002367,0.7067827741227725,99.10524085784265,104.96475442974273,99.10524085784265,104.96475442974273,96.40126940908078,98.03759552199934,89.45805205003107,93.66859295288644,0.370768603931895,4,-0.0753037052710893,1212.0,1049.0,1180.0375,1.0270860036227665,0.8889548001652491,0,0.6666666666666666,-9.782245337295151,204,321,65.49294601712532,H,L,2010,24,Utah St.,WAC,26-8,116.25521810436076,17,96.14102552324094,59,0.8988649193727173,24,26,8,14,2,14-2,0.545568070925878,0.5129282099198311,0.5404443273644792,0.545568070925878,0.5129282099198311,0.5404443273644792,0.8372470097706841,0.8391184921250207,104.78884797535704,103.14258051267532,104.78884797535704,103.14258051267532,115.07724492071804,94.10911251678918,131.16298275455543,117.20623084580726,0.7847922193340507,2,-0.0705556194204808,1170.0,943.0,989.2625,1.1826992330144932,0.9532353647287752,0,0.875,-0.200673544039346,55,314,60.27588382503479
333,Utah Valley,GWC,8-18,89.53728480467703,332,109.69804806524176,299,0.0882349559026674,333,8,18,5,7,5-7,0.2763594674532028,0.4397544722059988,0.1163299542518918,0.2763594674532028,0.4397544722059988,0.1163299542518918,0.8950522282792692,0.8069182829845349,96.53072596738942,107.35193205805956,96.53072596738942,107.35193205805956,85.72762414112835,109.56233023877662,92.64840253540925,106.60704117534053,0.1660498908712218,3,-0.0418020129994089,709.0,736.0,758.15,0.935171140275671,0.9707841456176218,0,0.4166666666666667,-14.66366924563691,285,262,61.22102413988068,H,W,2010,24,Utah St.,WAC,26-8,116.25521810436076,17,96.14102552324094,59,0.8988649193727173,24,26,8,14,2,14-2,0.545568070925878,0.5129282099198311,0.5404443273644792,0.545568070925878,0.5129282099198311,0.5404443273644792,0.8372470097706841,0.8391184921250207,104.78884797535704,103.14258051267532,104.78884797535704,103.14258051267532,115.07724492071804,94.10911251678918,131.16298275455543,117.20623084580726,0.7847922193340507,2,-0.0705556194204808,1170.0,943.0,989.2625,1.1826992330144932,0.9532353647287752,0,0.875,-0.200673544039346,55,314,60.27588382503479
302,Cal St. Bakersfield,ind,7-22,94.67385532193268,291,109.26209464931082,290,0.1613680725859121,302,7,22,0,2,0-2,0.4541807536288809,0.4615021156624923,0.3553423661751255,0.4541807536288809,0.4615021156624923,0.3553423661751255,0.8590941549773156,0.8549022669048221,102.46434456289704,104.41033320712104,102.46434456289704,104.41033320712104,96.11649621334024,110.35583115522056,105.29622890311867,131.56052739758314,0.0716957288237827,3,-0.001332442603531,153.0,158.0,152.91250000000002,1.0005722226763671,1.0332706613259215,0,0.0,-16.53067169261263,307,173,67.00696465884396,A,W,2010,24,Utah St.,WAC,26-8,116.25521810436076,17,96.14102552324094,59,0.8988649193727173,24,26,8,14,2,14-2,0.545568070925878,0.5129282099198311,0.5404443273644792,0.545568070925878,0.5129282099198311,0.5404443273644792,0.8372470097706841,0.8391184921250207,104.78884797535704,103.14258051267532,104.78884797535704,103.14258051267532,115.07724492071804,94.10911251678918,131.16298275455543,117.20623084580726,0.7847922193340507,2,-0.0705556194204808,1170.0,943.0,989.2625,1.1826992330144932,0.9532353647287752,0,0.875,-0.200673544039346,55,314,60.27588382503479
146,Long Beach St.,BW,15-16,101.02915850658056,193,98.72784300305696,95,0.5658613049551979,146,15,16,8,8,8-8,0.5561338294637326,0.7791415650346223,0.3945242783930448,0.5561338294637326,0.7791415650346223,0.3945242783930448,0.7688294910593223,0.5557526861297328,105.56917162355896,101.68519870830151,105.56917162355896,101.68519870830151,94.5287590593859,98.67788178128342,129.69768826339185,120.78763260462225,0.6939140609499286,7,0.0068549966306774,1079.0,1083.0,1116.7,0.9662398137369034,0.9698217963642876,0,0.5,-7.179697526813468,154,153,69.0055646015483,A,L,2010,24,Utah St.,WAC,26-8,116.25521810436076,17,96.14102552324094,59,0.8988649193727173,24,26,8,14,2,14-2,0.545568070925878,0.5129282099198311,0.5404443273644792,0.545568070925878,0.5129282099198311,0.5404443273644792,0.8372470097706841,0.8391184921250207,104.78884797535704,103.14258051267532,104.78884797535704,103.14258051267532,115.07724492071804,94.10911251678918,131.16298275455543,117.20623084580726,0.7847922193340507,2,-0.0705556194204808,1170.0,943.0,989.2625,1.1826992330144932,0.9532353647287752,0,0.875,-0.200673544039346,55,314,60.27588382503479
