Date,Opponent,Home/Away,Win/Loss,Score,Game Type,Attendance
2015-10-31,Oklahoma Panhandle State,H,W,87-48,Exhibition,"8,749"
2015-11-06,Cal State Monterey Bay,H,L,60-77,Exhibition,"8,869"
2015-11-13,Weber State,A,W,73-70,Non-Conference,"8,964"
2015-11-17,Adams State,H,W,83-68,Non-Conference,"8,423"
2015-11-20,Union (Tenn.),H,W,73-49,Non-Conference,"8,628"
2015-11-24,Utah Valley,H,W,81-55,Non-Conference,"8,632"
2015-11-29,Duke,A,L,52-85,Non-Conference,"9,314"
2015-12-01,Missouri State,A,W,69-68,Non-Conference,"3,694"
2015-12-09,BYU,A,L,68-80,Non-Conference,"14,048"
2015-12-12,UC Irvine,H,L,63-73,Non-Conference,"8,857"
2015-12-21,Texas-Rio Grande Valley,H,W,94-69,Global Sports Hoops Showcase (Gossner Foods),"8,156"
2015-12-22,Idaho State,H,W,69-58,Global Sports Hoops Showcase (Gossner Foods),"7,746"
2015-12-23,North Dakota State,H,W,76-62,Global Sports Hoops Showcase (Gossner Foods),"8,321"
2015-12-30,San Jose State,A,W,80-71,Conference,"1,417"
2016-01-02,San Diego State,H,L,67-70,Conference,"8,626"
2016-01-05,Boise State,H,L,61-76,Conference,"8,330"
2016-01-09,New Mexico,A,L,59-77,Conference,"13,476"
2016-01-12,Air Force,H,W,79-60,Conference,"9,243"
2016-01-16,Colorado State,A,W,96-92,Conference,"3,752"
2016-01-19,UNLV,H,L,68-80,Conference,"9,394"
2016-01-23,San Diego State,A,L,55-70,Conference,"12,414"
2016-01-30,Nevada,H,L,84-89,Conference,"9,659"
2016-02-02,Boise State,A,L,67-70,Conference,"5,544"
2016-02-06,Wyoming,A,L,65-84,Conference,"6,141"
2016-02-09,New Mexico,H,W,80-72,Conference,"9,290"
2016-02-17,Colorado State,H,W,72-59,Conference,"9,377"
2016-02-20,Fresno State,A,L,68-75,Conference,"7,068"
2016-02-24,Nevada,A,L,68-73,Conference,"6,527"
2016-02-27,San Jose State,H,W,88-70,Conference,"9,437"
2016-03-01,Air Force,A,W,78-65,Conference,"1,556"
2016-03-05,Fresno State,H,L,85-86,Conference,"9,870"
2016-03-09,Wyoming,N,W,88-70,Mountain West Tournament,"5,970"
2016-03-10,San Diego State,N,L,65-71,Mountain West Tournament,"8,279"
