Date,Opponent,Home/Away,Win/Loss,Score,Game Type,Attendance
2008-10-31,Northwest Nazarene,H,W,73-46,Exhibition,"7,706"
2008-11-08,Concordia,H,W,74-60,Exhibition,"7,745"
2008-11-14,Montana State-Northern,H,W,71-50,Non-Conference,"8,658"
2008-11-17,UC Santa Barbara,A,W,61-59,Non-Conference,"4,028"
2008-11-25,Weber State,H,W,75-49,Non-Conference,"7,693"
2008-11-29,Cal Poly San Luis Obispo,H,W,97-57,Non-Conference,"6,715"
2008-12-02,UC Irvine,H,W,74-62,Non-Conference,"7,438"
2008-12-06,BYU,N,L,63-68,Non-Conference,"13,890"
2008-12-13,Utah Valley,A,W,69-50,Non-Conference,"4,023"
2008-12-17,Southern Utah,A,W,72-65,Non-Conference,"3,157"
2008-12-20,Idaho State,A,W,67-57,Non-Conference,"2,976"
2008-12-22,Utah,H,W,66-64,Non-Conference,"8,358"
2008-12-29,Howard,H,W,85-45,Duel in the Desert,"8,382"
2008-12-30,Houston Baptist,H,W,94-77,Duel in the Desert,"8,522"
2008-12-31,Wyoming,H,W,90-85 (OT),Duel in the Desert,"8,877"
2009-01-05,Idaho,H,W,70-61,Conference,"9,138"
2009-01-08,Louisiana Tech,A,W,50-37,Conference,"1,442"
2009-01-10,New Mexico State,A,W,77-67,Conference,"6,577"
2009-01-15,Fresno State,H,W,65-61,Conference,"8,637"
2009-01-17,Boise State,H,W,79-65,Conference,"10,270"
2009-01-22,San Jose State,A,W,62-58,Conference,"1,948"
2009-01-24,Hawai'i,A,W,67-51,Conference,"6,314"
2009-01-29,Nevada,H,W,72-61,Conference,"10,023"
2009-01-31,Fresno State,A,W,83-77 (OT),Conference,"9,555"
2009-02-05,New Mexico State,H,W,78-59,Conference,"9,415"
2009-02-07,Louisiana Tech,H,W,60-52,Conference,"10,270"
2009-02-12,Idaho,A,W,62-53,Conference,"2,295"
2009-02-14,Boise State,A,L,56-66,Conference,"7,587"
2009-02-18,Cal State Bakersfield,H,W,78-57,Non-Conference,"8,189"
2009-02-21,St. Mary's,A,L,64-75,BracketBuster,"3,500"
2009-02-26,Hawai'i,H,W,82-62,Conference,"8,717"
2009-02-28,Nevada,A,L,71-84,Conference,"8,515"
2009-03-07,San Jose State,H,W,89-77,Conference,"10,270"
2009-03-12,Fresno State,N,W,85-68,WAC Tournament,"2,586"
2009-03-13,New Mexico State,N,W,71-70,WAC Tournament,"7,397"
2009-03-14,Nevada,A,W,72-62,WAC Tournament,"7,820"
2009-03-20,Marquette,N,L,57-58,NCAA Tournament,"11,997"
