rank,team,conf,record,adjoe,oe Rank,adjde,de Rank,barthag,rank,proj. W,Proj. L,Pro Con W,Pro Con L,Con Rec.,sos,ncsos,consos,Proj. SOS,Proj. Noncon SOS,Proj. Con SOS,elite SOS,elite noncon SOS,Opp OE,Opp DE,Opp Proj. OE,Opp Proj DE,Con Adj OE,Con Adj DE,Qual O,Qual D,Qual Barthag,Qual Games,FUN,ConPF,ConPA,ConPoss,ConOE,ConDE,ConSOSRemain,Conf Win%,WAB,WAB Rk,"Fun Rk, adjt", new
1,Ohio St.,B10,34-3,125.9606915912632,1,91.8422952529755,11,0.9742395053928862,1,34,3,16,2,16-2,0.7005375392216955,0.46597499592075764,0.8388653242801927,0.7005375392216955,0.46597499592075764,0.8388653242801927,0.6840556425041721,0.8539211462213763,109.44959503344009,99.38233572810218,109.44959503344009,99.38233572810218,127.1199069450678,93.50630653220735,132.2699909961632,94.92260630160429,0.9784481957366581,18,0.04539636278233805,1341.0,1153.0,1131.1125,1.1855584656698606,1.0193504182828852,0,0.8888888888888888,11.689658391691715,1,74,63.75516530930261
2,Kansas,B12,35-3,120.86764379701924,4,90.96159287465727,6,0.9633490136271472,2,35,3,14,2,14-2,0.6876809597139447,0.5443763483864897,0.7783860234043836,0.6876809597139447,0.5443763483864897,0.7783860234043836,0.7279327899343908,0.819450445575684,108.57372029572994,100.0966734489381,108.57372029572994,100.0966734489381,123.14782399803445,92.80150412704529,131.55397133881172,96.25673345510032,0.9732102312487606,10,0.05072003508809508,1298.0,1105.0,1115.325,1.1637863403043955,0.9907426086566695,0,0.875,10.217371807892993,2,65,67.99623750147515
3,Duke,ACC,32-5,120.59474788101633,5,91.47233147642535,8,0.9600206123878247,3,32,5,13,3,13-3,0.7115911554096949,0.6154834604158808,0.7702424493513019,0.7115911554096949,0.6154834604158808,0.7702424493513019,0.7034733889792261,0.7861275932311282,107.96945190305208,98.18675334057474,107.96945190305208,98.18675334057474,114.24236137342827,89.43212377846066,123.65903518671396,97.60553580466934,0.9382446013364473,16,0.01979872574839947,1189.0,1018.0,1093.375,1.0874585572196183,0.9310620784268893,0,0.8125,9.288642780974033,3,120,68.48685447223576
4,Texas,B12,28-8,115.46205823272106,21,90.01908162255117,2,0.9459655100659602,4,28,8,13,3,13-3,0.6702690992167631,0.5545266539868318,0.7375367535847542,0.6702690992167631,0.5545266539868318,0.7375367535847542,0.7147920660536693,0.7605619140374489,107.92660802687858,99.37478418569479,107.92660802687858,99.37478418569479,115.08990051846163,84.9319700322449,127.63303439696182,103.50892866451183,0.917531124041479,12,-0.02945438547136736,1153.0,944.0,1050.8249999999998,1.0972331263531037,0.8983417790783433,0,0.8125,5.406718350333736,13,242,65.46849348270956
5,Kentucky,SEC,29-9,119.30792771369622,7,93.36516106467158,22,0.9437300425929607,5,29,9,10,6,10-6,0.7120218128870706,0.6056562405513015,0.7268789064623524,0.7120218128870706,0.6056562405513015,0.7268789064623524,0.6625369488709338,0.720026335865655,109.03826712603491,98.21444975342483,109.03826712603491,98.21444975342483,117.06867210590504,94.15037275664,123.58579914313472,96.79855169932813,0.9431865792895614,17,0.0023298035187805377,1175.0,1051.0,1062.7250000000001,1.1056482156719751,0.9889670422734008,0,0.625,5.166920516121201,15,161,64.83522815875779
6,Pittsburgh,BE,28-6,119.75619283527445,6,94.08056487873374,26,0.9413111677251275,6,28,6,15,3,15-3,0.6849474314937468,0.4924389444758735,0.8120098786948087,0.6849474314937468,0.4924389444758735,0.8120098786948087,0.7059578471864721,0.8389064032424169,108.00203611706095,99.11525053360147,108.00203611706095,99.11525053360147,117.54519148215493,89.87105779613029,130.1936466448868,99.55269680166268,0.956305777750953,14,0.030805468163271232,1247.0,1081.0,1122.825,1.1105915881815955,0.9627502059537327,0,0.8333333333333334,7.492064059722465,6,101,62.152517065864856
7,Wisconsin,B10,25-9,123.05297076137626,3,97.827904300151,65,0.9332773671248262,7,25,9,13,5,13-5,0.7221239509821427,0.48038940506126687,0.8513882295628256,0.7221239509821427,0.48038940506126687,0.8513882295628256,0.6439681444742622,0.8000688028512072,110.31041009208168,98.94353161555625,110.31041009208168,98.94353161555625,127.4828508519375,99.50054260197247,126.02492939020733,101.45132213938548,0.923745302887288,18,0.01893925729691226,1223.0,1123.0,1027.3999999999999,1.1903834923106873,1.0930504185322174,0,0.7222222222222222,5.636913985649639,12,124,56.490002618419076
8,Notre Dame,BE,27-7,123.1319948392078,2,98.10678689603301,70,0.9316811008215807,8,27,7,14,4,14-4,0.7064012424538763,0.4944844602594664,0.8221547002205782,0.7064012424538763,0.4944844602594664,0.8221547002205782,0.6702622180314801,0.8002929984842501,108.34704068007565,98.61546972979883,108.34704068007565,98.61546972979883,122.14684977850973,97.11960066090074,139.07939462613282,113.54043687577357,0.9115886065610999,17,0.05722235858773961,1290.0,1204.0,1136.8625000000002,1.134701865880878,1.059055074822153,0,0.7777777777777778,7.664160997721858,5,54,63.04434112901194
9,Purdue,B10,26-8,115.18959946049131,22,92.0380892992655,13,0.9295851999925235,9,26,8,14,4,14-4,0.7245884788502255,0.561294139186471,0.8404421276425729,0.7245884788502255,0.561294139186471,0.8404421276425729,0.665886310088907,0.7901259187027445,109.23593384502827,98.34859794670565,109.23593384502827,98.34859794670565,118.75607914222753,91.0992431060965,114.07686305836202,88.76141217591241,0.9471292434847657,13,0.03781489383809011,1305.0,1158.0,1166.35,1.1188751232477387,0.9928409139623613,0,0.7777777777777778,6.977847234349189,9,89,65.61692136879873
10,San Diego St.,MWC,32-3,113.72206064345988,29,90.93293499394838,5,0.9290247547618805,10,32,3,14,2,14-2,0.666505368688579,0.6061807410369419,0.6705627040026203,0.666505368688579,0.6061807410369419,0.6705627040026203,0.7443060679813692,0.801302859247162,107.573491878854,99.79273331205552,107.573491878854,99.79273331205552,111.0859440646615,89.09867995191694,126.87234231369348,100.04551052100324,0.9388827508068172,11,0.11604554232985698,1121.0,947.0,1033.6499999999999,1.0845063609539014,0.9161708508682824,0,0.875,8.736886586977219,4,8,62.15112390337396
