Date,Opponent,Home/Away,Win/Loss,Score,Game Type,Attendance
2012-10-26,Grand Canyon,H,W,76-44,Exhibition,"8,076"
2012-11-03,Simon Fraser,H,W,92-56,Exhibition,"7,974"
2012-11-10,Idaho State,H,W,56-48,Non-Conference,"9,607"
2012-11-15,St. Mary's,H,L,58-67,Non-Conference,"9,077"
2012-11-17,Texas A&M Corpus Christi,H,W,77-68,Non-Conference,"9,673"
2012-11-24,Weber State,H,W,65-55,Non-Conference,"8,415"
2012-11-28,Santa Clara,A,W,80-78 (OT),Non-Conference,"1,442"
2012-12-08,Western Oregon,H,W,86-57,Non-Conference,"8,533"
2012-12-15,Utah Valley,A,W,69-63,Non-Conference,"4,033"
2012-12-20,Nicholls State,H,W,79-72,World Vision Challenge,"7,731"
2012-12-21,UC Davis,H,W,73-61,World Vision Challenge,"7,781"
2012-12-22,Southern Illinois,H,W,70-58,World Vision Challenge,"7,919"
2012-12-29,UTSA,A,W,71-67,Conference,"1,077"
2012-12-31,Texas State,A,W,81-57,Conference,"1,165"
2013-01-03,Seattle,H,W,75-66,Conference,"6,116"
2013-01-05,Idaho,H,W,82-75 (OT),Conference,"6,982"
2013-01-11,San Jose State,H,W,66-60,Conference,"9,191"
2013-01-17,New Mexico State,A,L,51-64,Conference,"7,119"
2013-01-19,Denver,A,L,57-68,Conference,"2,621"
2013-01-24,UT Arlington,H,L,68-74,Conference,"7,229"
2013-01-26,Louisiana Tech,H,L,48-51,Conference,"8,530"
2013-01-31,Idaho,A,W,77-67,Conference,"1,190"
2013-02-02,Seattle,A,W,68-46,Conference,"3,270"
2013-02-09,San Jose State,A,W,63-36,Conference,"1,876"
2013-02-14,Denver,H,L,60-63 (OT),Conference,"6,978"
2013-02-16,New Mexico State,H,W,73-69,Conference,"7,646"
2013-02-19,BYU,A,L,70-68,Non-Conference,"16,569"
2013-02-23,Illinois State,H,W,80-71,BracketBuster,"7,348"
2013-02-28,Louisiana Tech,A,L,61-84,Conference,"5,506"
2013-03-02,UT Arlington,A,L,46-61,Conference,"4,837"
2013-03-07,Texas State,H,W,77-61,Conference,"7,123"
2013-03-09,UTSA,H,W,71-51,Conference,"6,984"
2013-03-14,UT Arlington,N,L,78-83,WAC Tournament,
