rank,team,conf,record,adjoe,oe Rank,adjde,de Rank,barthag,rank,proj. W,Proj. L,Pro Con W,Pro Con L,Con Rec.,sos,ncsos,consos,Proj. SOS,Proj. Noncon SOS,Proj. Con SOS,elite SOS,elite noncon SOS,Opp OE,Opp DE,Opp Proj. OE,Opp Proj DE,Con Adj OE,Con Adj DE,Qual O,Qual D,Qual Barthag,Qual Games,FUN,ConPF,ConPA,ConPoss,ConOE,ConDE,ConSOSRemain,Conf Win%,WAB,WAB Rk,"Fun Rk, adjt", new
1,Kentucky,SEC,38-1,121.7693535127811,6,86.14805557665572,1,0.9816517994596587,1,38,1,18,0,18-0,0.7023162598263007,0.6116914137084077,0.7345765631007608,0.7023162598263007,0.6116914137084077,0.7345765631007608,0.7069293658406867,0.7601398349785498,109.3740813176184,99.6457441205528,109.3740813176184,99.6457441205528,120.31878472731918,87.28687137700442,133.91461935475476,92.00418895931652,0.986832331466073,20,0.05731910493346448,1335.0,1034.0,1158.5,1.1523521795425118,0.8925334484246871,0,1.0,12.958426763004976,1,57,62.8339476266539
2,Duke,ACC,35-4,126.79031185342217,3,92.80235268557283,11,0.9731094172647708,2,35,4,15,3,15-3,0.730092799894453,0.5554327000108842,0.7986713338806796,0.730092799894453,0.5554327000108842,0.7986713338806796,0.6314768596800407,0.757837030030795,111.57307593049998,99.01627232436691,111.57307593049998,99.01627232436691,125.58301056273937,95.2837446963327,134.2152877345884,94.70828589079858,0.9821791025549658,19,0.06917613811941459,1418.0,1243.0,1210.9,1.17102981253613,1.0265092080270872,0,0.8333333333333334,10.556835932755204,4,42,65.76980660217082
3,Wisconsin,B10,36-4,130.54164728798963,1,95.84471207478492,37,0.9721607600904351,3,36,4,16,2,16-2,0.7469577842195567,0.6353634683411353,0.7661005443947515,0.7469577842195567,0.6353634683411353,0.7661005443947515,0.6542767923470788,0.7551654120106016,110.69393889997795,98.1801434503013,110.69393889997795,98.1801434503013,129.49143190676867,95.16325212784325,141.68969355619961,102.97972066080386,0.9751500173563243,18,0.05212873790785866,1266.0,1047.0,1042.8,1.2140391254315306,1.0040276179516687,0,0.8888888888888888,11.258040666969483,2,67,58.71893963230345
4,Arizona,P12,34-4,119.16686175176939,11,89.18547681383117,3,0.9655362218096951,4,34,4,16,2,16-2,0.6762671421515205,0.5499079951989518,0.7293241209275099,0.6762671421515205,0.5499079951989518,0.7293241209275099,0.7326640590537145,0.8234916206246446,108.93947819529852,100.50927218088842,108.93947819529852,100.50927218088842,118.53506075220004,85.00597609031043,129.44123023648112,96.62032273682007,0.9665291118656213,11,0.019756609836536376,1384.0,1042.0,1198.1000000000001,1.155162340372256,0.8697103747600367,0,0.8888888888888888,8.942566288496987,6,130,66.10672391583107
5,Villanova,BE,33-3,123.60841871839804,4,93.33546942536513,14,0.961968327433119,5,33,3,16,2,16-2,0.6949693687833334,0.5494658323952168,0.786338413007452,0.6949693687833334,0.5494658323952168,0.786338413007452,0.7260209182353791,0.8430554376009312,108.89353101725456,99.97235018412763,108.89353101725456,99.97235018412763,123.87153379374985,93.70208307324438,132.8414210317642,99.36739589052576,0.9657367686919822,14,0.05067601309666703,1380.0,1150.0,1168.3,1.1812034580159205,0.9843362150132672,0,0.8888888888888888,11.22732419922727,3,71,64.07002662668891
6,Virginia,ACC,30-4,113.87101550419891,30,86.4021936476527,2,0.9598676608386468,6,30,4,16,2,16-2,0.6924030010816663,0.539916039572272,0.7747252205730176,0.6924030010816663,0.539916039572272,0.7747252205730176,0.6953419596418823,0.8263185793324129,109.38637695974448,99.82835399530651,109.38637695974448,99.82835399530651,111.15754588041347,84.09291310716839,124.23457449130622,95.47718531489328,0.9538129508135079,13,0.05433029190084493,1119.0,929.0,1048.3999999999999,1.0673407096528045,0.8861121709271271,0,0.8888888888888888,9.921442406466756,5,63,57.75424620130416
7,Gonzaga,WCC,34-3,121.99940629966977,5,95.19749161817859,30,0.9454590990550961,7,34,3,17,1,17-1,0.6242058166239195,0.5959322490367248,0.5916272893675611,0.6242058166239195,0.5959322490367248,0.5916272893675611,0.7667488204159051,0.7666298990767197,108.11772299227572,101.86377089001255,108.11772299227572,101.86377089001255,117.96183812923546,93.74040635135724,129.43340732516617,97.97358216963032,0.9609240971711062,12,0.07455601323553018,1353.0,1079.0,1141.4000000000003,1.1853863676187135,0.9453302961275624,0,0.9444444444444444,7.8725369274419545,9,32,64.56666607734954
8,Utah,P12,25-9,116.47225218884998,17,90.9675533671576,8,0.9449154962661132,8,25,9,13,5,13-5,0.6729787084069558,0.5408873949667964,0.7017893728113042,0.6729787084069558,0.5408873949667964,0.7017893728113042,0.7030490102878912,0.7482475444622281,109.17077619308566,100.4588734966473,109.17077619308566,100.4588734966473,117.23524057965858,88.62177247922722,114.04627974256897,96.60946750820135,0.8708131052561187,12,-0.058462609352303296,1250.0,1016.0,1100.1999999999998,1.1361570623522999,0.9234684602799492,0,0.7222222222222222,3.6545378828900406,20,298,60.72993411816862
9,North Carolina,ACC,26-12,121.17429400866166,7,94.64636456198846,22,0.9448749635682187,9,26,12,11,7,11-7,0.7772043820528628,0.679208501444161,0.8129247304867806,0.7772043820528628,0.679208501444161,0.8129247304867806,0.6118386308446638,0.7050756411529291,112.24031915938548,97.55420131883888,112.24031915938548,97.55420131883888,119.28462747422448,95.44961566920718,133.4522974295998,106.23318926850555,0.9323421465045304,23,-0.03654797913826102,1366.0,1269.0,1236.1,1.1050885850659333,1.0266159695817492,0,0.6111111111111112,6.381665129280532,12,257,69.28380122943643
10,Notre Dame,ACC,32-6,126.96303116396972,2,100.9002309660991,112,0.9335337580565981,10,32,6,14,4,14-4,0.6615883797109371,0.3582510510738143,0.7927402299116262,0.6615883797109371,0.3582510510738143,0.7927402299116262,0.672902804869009,0.8833319487714122,108.38048528902118,99.85037680715881,108.38048528902118,99.85037680715881,123.22640105927154,101.26932774947782,142.536624712442,110.6479352018081,0.9484523109673474,17,0.10683622714027385,1323.0,1234.0,1150.0000000000002,1.1504347826086954,1.0730434782608693,0,0.7777777777777778,8.442199744777584,8,11,63.30244726103607
11,Oklahoma,B12,24-11,112.98973557673366,40,90.73037965706177,6,0.9257491729723359,11,24,11,12,6,12-6,0.724290628533747,0.5508758153380012,0.8169357252062526,0.724290628533747,0.5508758153380012,0.8169357252062526,0.6659518975764793,0.775408453956361,110.47505353906688,99.2672124329368,110.47505353906688,99.2672124329368,113.13792276065743,90.28555170027954,120.24146063258591,94.71969703983035,0.9395548061099829,18,-0.03444794635302739,1285.0,1179.0,1220.3000000000002,1.0530197492419895,0.9661558633123001,0,0.6666666666666666,4.249228281175598,17,248,66.89123304901985
12,Michigan St.,B10,27-12,117.90700194868796,13,94.8071463784186,24,0.924672277454233,12,27,12,12,6,12-6,0.7196295581842347,0.5173702724433433,0.7777559101142149,0.7196295581842347,0.5173702724433433,0.7777559101142149,0.6510906296512111,0.7841193369472198,111.24048398877835,99.43257020168774,111.24048398877835,99.43257020168774,115.15571871444467,94.70432610910014,122.21854224361206,97.63791066447403,0.9297115337823612,18,-0.006436069061887428,1262.0,1168.0,1158.1,1.0897159139970642,1.0085484845868233,0,0.6666666666666666,2.9733932170240536,26,180,63.32795129775274
13,Baylor,B12,23-10,117.67133266064582,14,94.95182710120567,26,0.9217990917243548,13,23,10,11,7,11-7,0.7182070814296226,0.5355744406576718,0.8173876626295393,0.7182070814296226,0.5355744406576718,0.8173876626295393,0.6828071927765709,0.8278717929036681,109.09792221346375,98.73674326862576,109.09792221346375,98.73674326862576,119.25118328457582,94.57203257963425,130.8347241656996,102.30535569725998,0.944206516386243,16,-0.030381799263996534,1233.0,1142.0,1127.0,1.0940550133096716,1.013309671694765,0,0.6111111111111112,4.781463616048782,15,237,61.43424203243063
14,Wichita St.,MVC,29-5,116.12492145005345,19,93.73925653664298,17,0.9214865897321074,14,29,5,17,1,17-1,0.5940946653183032,0.6168622892419896,0.5283391322674676,0.5940946653183032,0.6168622892419896,0.5283391322674676,0.7848100009247831,0.7878005061682842,106.23732569168648,101.34172999197818,106.23732569168648,101.34172999197818,114.40361668164894,91.02319556183978,119.52807468251451,96.59749533011852,0.9205235882683731,7,0.036006920355544314,1221.0,953.0,1079.1,1.1314984709480123,0.8831433602075804,0,0.9444444444444444,4.421698537637255,16,102,61.96445684712385
15,Louisville,ACC,27-9,110.96841850241977,61,89.6267753033917,5,0.921021132450586,15,27,9,12,6,12-6,0.7088600560435765,0.49658012705541654,0.8172330942696564,0.7088600560435765,0.49658012705541654,0.8172330942696564,0.664138011908006,0.8263227191296407,110.30433728085228,99.22129051725956,110.30433728085228,99.22129051725956,111.12772507671248,90.90048750430267,126.35932042707684,100.75561098666594,0.9311163006379404,17,0.04431781248016309,1192.0,1131.0,1144.8,1.0412299091544375,0.9879454926624738,0,0.6666666666666666,5.660772657952979,13,84,64.94619096682611
16,Kansas,B12,27-9,114.89233722843082,27,92.86684614479313,12,0.920380713336775,16,27,9,13,5,13-5,0.7849534721763198,0.7174986962764974,0.8175498291168561,0.7849534721763198,0.7174986962764974,0.8175498291168561,0.6276894984118154,0.6838494356835768,111.25671410595666,97.20417964364513,111.25671410595666,97.20417964364513,115.13484040699944,91.34742318352755,119.52785073336072,98.87122157423775,0.8986131038838959,21,0.07717724645847823,1303.0,1180.0,1218.4000000000003,1.0694353250164146,0.9684832567301377,0,0.7222222222222222,8.740190577566294,7,27,66.58883784461975
17,Northern Iowa,MVC,31-4,117.2775671357185,16,95.12873605623601,28,0.9173665560222801,17,31,4,16,2,16-2,0.5519852082763806,0.548218487447478,0.5288099828560111,0.5519852082763806,0.548218487447478,0.5288099828560111,0.8122517334016423,0.8105331693991474,104.88244623083875,102.22426873734874,104.88244623083875,102.22426873734874,114.8651928747336,91.75052446033455,128.46568599784388,107.78163022250614,0.8827649267149394,7,0.04981670154195894,1130.0,940.0,1014.1999999999999,1.1141786629856045,0.9268388877933347,0,0.8888888888888888,5.56234758903889,14,72,57.84758379737484
18,Iowa,B10,22-12,115.33678272825756,24,94.12300452383519,18,0.9119290897502786,18,22,12,12,6,12-6,0.6842091634653663,0.5153565392109525,0.7798051188139054,0.6842091634653663,0.5153565392109525,0.7798051188139054,0.6828042311686475,0.7836864000161554,109.55957086251931,100.04378175918751,109.55957086251931,100.04378175918751,119.01227302579294,95.36725484648662,134.05598512056542,111.94063379647835,0.8882830123364531,16,-0.057052166450876296,1244.0,1148.0,1119.1,1.1116075417746405,1.0258243231167903,0,0.6666666666666666,1.973323993279377,30,294,63.97040953314374
19,Iowa St.,B12,25-9,119.11687537067851,12,98.19173095775594,63,0.90217304908083,19,25,9,12,6,12-6,0.7136419807521683,0.5174218513158277,0.8196263478803734,0.7136419807521683,0.5174218513158277,0.8196263478803734,0.6693053613092547,0.8129866932957079,109.02865382438816,98.79542336612108,109.02865382438816,98.79542336612108,119.83003920691357,98.09058659212914,135.27153255517985,108.2561001355822,0.9283769249451143,18,0.06241552712466836,1391.0,1306.0,1257.1000000000001,1.106514994829369,1.0388990533768196,0,0.6666666666666666,6.791643946408256,11,50,69.20365526764233
20,Ohio St.,B10,24-11,115.51876488675268,23,95.35161997553672,34,0.9008235763775911,20,24,11,11,7,11-7,0.658908154561541,0.401404594965633,0.7955017514672638,0.658908154561541,0.401404594965633,0.7955017514672638,0.7038815565347002,0.8613194593490784,109.05060337462258,100.71261721100343,109.05060337462258,100.71261721100343,113.73017380312332,94.36364925887844,109.07736683313705,100.59444528374411,0.7172871119668632,13,-0.01898207675448027,1247.0,1149.0,1151.1000000000001,1.0833116149769784,0.9981756580661975,0,0.6111111111111112,2.3951451623417066,28,210,65.64667003226724
21,Butler,BE,23-11,109.9326958392777,68,90.77218799567217,7,0.9004672365633494,21,23,11,12,6,12-6,0.7056847510347427,0.5380597719381959,0.793389453421709,0.7056847510347427,0.5380597719381959,0.793389453421709,0.6758082601784073,0.7860130969063104,110.99158656547763,100.76078778606467,110.99158656547763,100.76078778606467,112.65701973309513,92.96912436222426,118.40469873779382,99.79888522132303,0.877174471066986,16,0.0003427807848912501,1238.0,1161.0,1160.0,1.0672413793103448,1.0008620689655172,0,0.6666666666666666,3.3597447255707116,23,168,63.271983685630374
22,Xavier,BE,23-14,117.40382964758501,15,97.38738294371845,57,0.895632601327124,22,23,14,9,9,9-9,0.734021706006831,0.5839630306208924,0.7939390088816498,0.734021706006831,0.5839630306208924,0.7939390088816498,0.6808252832379211,0.8392243733397794,110.14411635272742,98.70717490417483,110.14411635272742,98.70717490417483,113.29718016007158,96.70859966081021,119.67237084591467,96.58166213317962,0.9216689531854896,14,-0.050523828930798764,1277.0,1239.0,1196.4999999999998,1.0672795653990808,1.0355202674467199,0,0.5,1.2671290544334648,36,279,64.92730945503514
23,Texas,B12,20-14,112.14572237462846,46,93.64123882643844,16,0.8883279790100644,23,20,14,8,10,8-10,0.6965322981657821,0.5031791847944672,0.8211990572172151,0.6965322981657821,0.5031791847944672,0.8211990572172151,0.678536140593825,0.8097639069860588,108.77092997962612,98.76732847986352,108.77092997962612,98.76732847986352,110.3585138033743,94.16890177939653,118.37371667870921,101.75751195691107,0.8506135960798923,16,-0.07002221103077977,1171.0,1155.0,1142.8000000000004,1.0246762338116902,1.0106755337766884,0,0.4444444444444444,0.7736706699665168,41,312,62.17626202500982
24,Georgetown,BE,22-11,114.26118419174625,29,95.98071243873699,39,0.881311222059115,24,22,11,12,6,12-6,0.7280513896668395,0.5965656830357539,0.7955631693069622,0.7280513896668395,0.5965656830357539,0.7955631693069622,0.6669868910939989,0.7525040707208247,111.32633073561614,99.57919429306949,111.32633073561614,99.57919429306949,111.60755833784236,92.71570284037122,137.08744079694645,118.12214499716563,0.8471404843055416,16,0.033050558445221756,1243.0,1162.0,1173.2999999999997,1.059405096735703,0.9903690445751302,0,0.6666666666666666,3.601608975756594,21,106,63.94182363027183
25,Providence,BE,22-12,113.01808146348519,38,95.89051088292362,38,0.8687463042911638,25,22,12,11,7,11-7,0.7246350960971606,0.5886168127531876,0.7969836423416357,0.7246350960971606,0.5886168127531876,0.7969836423416357,0.6650602038241111,0.7690142572472527,110.57456976267943,99.00951519162656,110.57456976267943,99.00951519162656,113.01584866626557,96.43579127007362,122.66605107911104,102.35991641702728,0.8890585015874092,14,0.03372901161893782,1264.0,1239.0,1192.6000000000001,1.0598691933590474,1.038906590642294,0,0.6111111111111112,3.5523554257242393,22,105,65.1324902692636
26,Florida,SEC,16-17,107.60609429544778,101,91.61787666088026,9,0.8641018606582361,26,16,17,8,10,8-10,0.7167338669017652,0.6235717476580235,0.7660744161164862,0.7167338669017652,0.6235717476580235,0.7660744161164862,0.6797213262963965,0.7635408451623417,110.1430695808566,99.1624086292833,110.1430695808566,99.1624086292833,105.3972034164217,91.14144702863024,111.9862956360623,98.04854048730854,0.821788075535561,14,-0.137680751650051,1113.0,1119.0,1140.0,0.9763157894736842,0.9815789473684211,0,0.4444444444444444,-2.9842705112853025,85,350,62.07183625628642
27,San Diego St.,MWC,26-9,105.00178117489092,159,89.55060595416434,4,0.861820602932836,27,26,9,14,4,14-4,0.5949788558897368,0.6004326624568183,0.5366623502025036,0.5949788558897368,0.6004326624568183,0.5366623502025036,0.778962855071364,0.7515813674819366,106.72893847943327,101.80644198580664,106.72893847943327,101.80644198580664,103.24085550631554,88.96128511097275,126.59441878912484,110.92931501074894,0.8204051916538431,8,0.015629572246652956,1109.0,949.0,1078.8,1.027994067482388,0.8796811271783463,0,0.7777777777777778,1.5113616578314464,33,136,60.6220808828989
28,BYU,WCC,23-10,120.04311722885495,10,102.39315763000683,134,0.861625581631582,28,23,10,13,5,13-5,0.6230350615916415,0.624836113200699,0.6011715059291295,0.6230350615916415,0.624836113200699,0.6011715059291295,0.7814333519036439,0.7990944249419811,107.8173959805494,101.82378273945237,107.8173959805494,101.82378273945237,119.93623455114388,100.37897106620647,139.73196553088653,121.4027605058959,0.8343869251875983,7,-0.030124326793683376,1460.0,1266.0,1234.9,1.1822819661511053,1.0251842254433556,0,0.7222222222222222,0.9312773064697569,38,236,70.23905345565885
29,West Virginia,B12,25-10,111.9447635013174,50,95.53835018018086,35,0.8608652395022299,29,25,10,11,7,11-7,0.7066636376030565,0.48987124206199695,0.8243034826757277,0.7066636376030565,0.48987124206199695,0.8243034826757277,0.6829345017364506,0.879090784040081,109.56725837732286,99.01111327650361,109.56725837732286,99.01111327650361,111.54669450048,95.7959427593866,121.05696116183667,106.41091368680517,0.8150192564698903,16,0.09458947683460195,1270.0,1275.0,1244.3000000000002,1.020654183074821,1.0246725066302338,0,0.6111111111111112,3.9481755660721913,18,18,67.9886889995937
30,Arkansas,SEC,27-9,114.96587726760006,26,98.26230260660647,65,0.8588100235598065,30,27,9,13,5,13-5,0.6435991581828381,0.48399150819142833,0.7112679232647224,0.6435991581828381,0.48399150819142833,0.7112679232647224,0.7356362797576635,0.8303910237844231,107.95529638629806,100.58522527338091,107.95529638629806,100.58522527338091,112.96581898982961,97.73717747880609,116.35451815901692,98.19612267786903,0.8755842278507182,11,0.0715793372980642,1352.0,1284.0,1260.0999999999997,1.0729307197841444,1.0189667486707408,0,0.7222222222222222,3.8033480876119414,19,37,69.31639840504641
31,SMU,Amer,26-7,112.9114112192539,42,96.65473751287254,51,0.8566537351211881,31,26,7,15,3,15-3,0.5856351673791278,0.5619641593488225,0.5759495972864993,0.5856351673791278,0.5619641593488225,0.5759495972864993,0.7934253875048,0.7807451859011334,106.12797092408542,102.08963873148785,106.12797092408542,102.08963873148785,113.73192508383312,96.16478698033957,105.89177642885666,94.4467034559564,0.7884140177295057,7,0.05209079319685339,1240.0,1054.0,1114.1999999999998,1.1129061209836655,0.9459702028361158,0,0.8333333333333334,3.296097263917338,24,68,62.99479000235447
32,North Carolina St.,ACC,22-14,115.63800894993503,22,99.0915518832899,76,0.8551819176818133,32,22,14,10,8,10-8,0.7265528531927583,0.5492247611676999,0.8095177314042759,0.7265528531927583,0.5492247611676999,0.8095177314042759,0.6593613877056428,0.8421834926828944,110.2683201329047,98.60091044709868,110.2683201329047,98.60091044709868,114.19155650689423,95.34902608043393,125.4432987796897,104.25245586672999,0.8935894784495695,15,0.023180481046297108,1243.0,1189.0,1166.6,1.0654894565403739,1.0192010972055547,0,0.5555555555555556,1.033629668016165,37,126,64.13031047606228
33,Maryland,B10,28-7,111.82780815861351,51,96.04269560987366,40,0.8519433873535933,33,28,7,14,4,14-4,0.6704577391279533,0.4895921357852065,0.7619924230544506,0.6704577391279533,0.4895921357852065,0.7619924230544506,0.7070540642672014,0.8295924962116984,109.11337302332734,100.44242305685863,109.11337302332734,100.44242305685863,107.6338963272075,93.82816495581905,117.65571695417516,98.96398113496414,0.8796984449854867,14,0.16510432768652405,1187.0,1161.0,1173.4,1.0115902505539458,0.9894324186125788,0,0.7777777777777778,6.82749212367274,10,1,63.83559424255442
34,Purdue,B10,21-13,112.05115457856618,49,96.25911713581459,44,0.8515722248387672,34,21,13,12,6,12-6,0.6683308598307504,0.48067888905993794,0.7736084762484783,0.6683308598307504,0.48067888905993794,0.7736084762484783,0.7061257463698906,0.8281820793534865,109.61874786581232,101.25188012407449,109.61874786581232,101.25188012407449,110.34217330075687,92.8416069539303,116.71744237263137,100.25960996336383,0.8516902994519429,14,-0.016566948118008074,1204.0,1151.0,1155.7000000000003,1.0417928528164746,0.9959332006576098,0,0.6666666666666666,0.901628779925031,40,206,64.42291211028059
35,Syracuse,ACC,18-13,107.52779367009538,102,92.79565086518694,10,0.8448176921060432,35,18,13,9,9,9-9,0.6729209709786453,0.5179994870457268,0.7848087093746421,0.6729209709786453,0.5179994870457268,0.7848087093746421,0.6866140081530966,0.7998444201465014,109.67702474831258,100.1086395931152,109.67702474831258,100.1086395931152,105.92580880234749,93.33387558656278,109.21651070994827,93.15763376355314,0.8616366951127089,12,-0.03058467797020492,1181.0,1213.0,1188.1000000000001,0.9940240720478073,1.0209578318323371,0,0.5,-0.3751322362780434,54,238,65.75662823120224
36,St. John's,BE,20-12,112.05812555574559,47,96.88498972677482,54,0.8419981129013877,36,20,12,10,8,10-8,0.7061254234347458,0.5422343432510498,0.7999942820339673,0.7061254234347458,0.5422343432510498,0.7999942820339673,0.6754530789752472,0.7675457586292813,110.06131702805445,99.49760531774625,110.06131702805445,99.49760531774625,115.74708969266943,99.19174796054467,127.48379981242665,109.7720846703017,0.8481552308321366,16,0.03860461170827667,1293.0,1315.0,1209.0,1.0694789081885856,1.0876757650951199,0,0.5555555555555556,2.2159381392944084,29,96,66.37643323068647
37,Davidson,A10,23-8,120.20666098975055,9,104.24688223109058,174,0.8372872129117006,37,23,8,14,4,14-4,0.5772276415145754,0.4477248055821514,0.611802961474619,0.5772276415145754,0.4477248055821514,0.611802961474619,0.7822233565016617,0.8027907302529037,105.59514303159416,101.83506779594238,105.59514303159416,101.83506779594238,119.27945372860991,100.89608014053363,119.3367235200709,113.98726350810382,0.6288805752999432,8,0.03873185203323026,1388.0,1201.0,1186.4,1.169925826028321,1.0123061362103842,0,0.7777777777777778,1.8201089265491914,31,94,66.57313312620512
38,Georgia,SEC,21-12,109.17177778321917,77,94.78721689727087,23,0.8354577380186089,38,21,12,11,7,11-7,0.6945765247784419,0.5600916166432788,0.7567109231744503,0.6945765247784419,0.5600916166432788,0.7567109231744503,0.7056498693249803,0.8117124198300497,109.22060717746903,99.61823747322644,109.22060717746903,99.61823747322644,109.47502906118554,94.20471240488466,116.44212772300037,99.46536538749986,0.8596307264035286,13,0.028653851417560272,1203.0,1175.0,1174.6,1.0241784437255237,1.000340541460923,0,0.6111111111111112,1.524571887695316,32,116,64.22261358698226
39,Indiana,B10,20-14,120.95155390804848,8,105.13048115702841,187,0.8337110613559453,39,20,14,9,9,9-9,0.661686227575483,0.4558569908631989,0.788150619492648,0.661686227575483,0.4558569908631989,0.788150619492648,0.7086427488561213,0.8365915689338213,108.4774511010761,100.51824116887835,108.4774511010761,100.51824116887835,118.90284030144237,104.34735083426496,123.29598970528826,109.7880096891147,0.7915708934491547,15,-0.02578979826403882,1294.0,1289.0,1163.6,1.1120660020625646,1.1077689927810246,0,0.5,-0.37307771203199935,53,223,66.54631931290307
40,Cincinnati,Amer,23-11,108.34503129302595,91,94.21063817136522,19,0.8330722464398248,40,23,11,13,5,13-5,0.5972924588575195,0.5822408359592115,0.5667880249191176,0.5972924588575195,0.5822408359592115,0.5667880249191176,0.788886292032346,0.8202191152808026,105.62410618632252,100.9386554385053,105.62410618632252,100.9386554385053,106.88068897500035,92.9533004668042,124.00064250673623,104.60597185896269,0.8760983450165712,8,-0.025936526649418368,1129.0,993.0,1072.5,1.0526806526806527,0.9258741258741259,0,0.7222222222222222,-1.1629868915492567,66,224,59.68831927395069
41,Miami FL,ACC,25-13,112.91514499131353,41,98.23923313217784,64,0.8321798780554852,41,25,13,10,8,10-8,0.6759608631015107,0.49311169659359094,0.7807174900859297,0.6759608631015107,0.49311169659359094,0.7807174900859297,0.7135898003088611,0.8487149279002425,108.49617603043268,99.74032836983281,108.49617603043268,99.74032836983281,114.15631375683054,96.77588616236326,119.57295074739154,102.0682253576278,0.8605996779467575,14,0.04281524747780119,1228.0,1188.0,1145.7999999999997,1.0717402688078201,1.0368301623319953,0,0.5555555555555556,0.6907627815003425,42,87,62.30574940656455
42,LSU,SEC,22-11,109.34212861053128,74,95.15116845167117,29,0.8318325856479333,42,22,11,11,7,11-7,0.6294762757106135,0.4559567958355808,0.744937796632733,0.6294762757106135,0.4559567958355808,0.744937796632733,0.7654595197583763,0.8672480556832011,106.63959433046298,100.79686106059481,106.63959433046298,100.79686106059481,109.79203669210656,92.89529613751472,115.00441422117018,91.37101967423693,0.9337321518278522,9,-0.004103084666669532,1305.0,1241.0,1268.6,1.0286930474538862,0.9782437332492512,0,0.6111111111111112,0.4490636027614441,45,177,69.52740717131611
43,VCU,A10,26-10,110.35186438755031,65,96.13044131260192,41,0.8301417130528124,43,26,10,12,6,12-6,0.6596756790746955,0.6984263183947808,0.6057694567595944,0.6596756790746955,0.6984263183947808,0.6057694567595944,0.7493016342575642,0.6981954279212916,108.32647084916412,100.78618227883256,108.32647084916412,100.78618227883256,103.6253275657992,93.59439898332975,122.16560616952209,104.96362399663361,0.8513568050311686,13,0.07568041632450262,1247.0,1161.0,1230.0000000000002,1.013821138211382,0.9439024390243901,0,0.6666666666666666,3.1487768628831536,25,30,66.58888022867653
44,Oklahoma St.,B12,17-14,112.27624210911796,45,97.86097935657413,60,0.8292421113446056,44,17,14,8,10,8-10,0.7180579944459177,0.5099273564797968,0.8278549562584866,0.7180579944459177,0.5099273564797968,0.8278549562584866,0.6741028307649088,0.851167269592712,108.49743608847906,97.8167310866001,108.49743608847906,97.8167310866001,111.30114081841917,95.8940909403458,117.06893937096302,103.05041506251933,0.8125649543954587,16,-0.015959916700356902,1154.0,1157.0,1129.8000000000002,1.0214197203044786,1.0240750575323065,0,0.4444444444444444,0.04525686006785912,48,202,63.42054743878067
45,UCLA,P12,22-14,113.40632000303066,34,98.87685442999125,72,0.8287327202962507,45,22,14,11,7,11-7,0.6745236981410855,0.5769708786897783,0.7181470346315093,0.6745236981410855,0.5769708786897783,0.7181470346315093,0.6927024497847258,0.733432260723914,108.56692925611166,99.09395281625241,108.56692925611166,99.09395281625241,111.4165209455931,96.87552614193588,106.42129248200244,99.2116534838943,0.6914116544463885,13,0.013554822001241695,1233.0,1185.0,1169.7,1.0541164401128493,1.013080276994101,0,0.6111111111111112,-0.0491261825044389,50,142,66.16746037795409
