Date,Opponent,Home/Away,Win/Loss,Score,Game Type,Attendance
2016-11-04,Southern Virginia,H,W,83-55,Exhibition,"5,710"
2016-11-11,UC Irvine,A,W,72-56,Non-Conference,"1,883"
2016-11-14,NJIT,H,W,93-84,Cancun Challenge,"8,584"
2016-11-16,Bristol,H,W,96-53,Exhibition,"8,264"
2016-11-19,Idaho State,H,W,85-51,Cancun Challenge,"8,923"
2016-11-22,Purdue,N,L,64-85,Cancun Challenge,"1,610"
2016-11-23,Texas Tech,N,L,51-75,Cancun Challenge,"1,610"
2016-11-30,BYU,N,L,63-77,Non-Conference,"12,187"
2016-12-03,Indiana State,H,L,61-62,MW MVC Challenge,"7,064"
2016-12-06,Great Falls,H,W,84-51,Non-Conference,"5,932"
2016-12-10,Utah Valley,A,W,80-79 (OT),Non-Conference,"6,792"
2016-12-19,New Orleans,H,W,76-66,Non-Conference,"5,825"
2016-12-21,Weber State,H,L,71-77,Non-Conference,"6,270"
2016-12-28,Boise State,H,L,80-83,Conference,"7,227"
2016-12-31,Air Force,A,L,73-78,Conference,"1,143"
2017-01-04,New Mexico,H,W,79-75,Conference,"3,897"
2017-01-07,UNLV,H,W,79-63,Conference,"6,080"
2017-01-11,Wyoming,A,L,87-95,Conference,"4,547"
2017-01-14,San Diego State,A,L,55-74,Conference,"12,414"
2017-01-21,Colorado State,H,L,56-64,Conference,"8,854"
2017-01-25,New Mexico,A,L,61-74,Conference,"10,698"
2017-01-28,Fresno State,H,W,78-65,Conference,"6,835"
2017-02-01,Nevada,H,W,74-57,Conference,"6,122"
2017-02-04,Boise State,A,L,70-72,Conference,"7,560"
2017-02-08,Colorado State,A,L,52-69,Conference,"2,763"
2017-02-11,Wyoming,H,W,81-74,Conference,"7,027"
2017-02-15,San Diego State,H,L,62-66,Conference,"6,427"
2017-02-18,Nevada,A,L,66-77,Conference,"10,336"
2017-02-22,San Jose State,A,W,81-75,Conference,"2,316"
2017-02-25,Air Force,H,W,89-58,Conference,"8,015"
2017-03-01,UNLV,A,L,59-66,Conference,"9,931"
2017-03-08,San Jose State,N,W,90-64,Mountain West Tournament,"4,979"
2017-03-09,Nevada,N,L,69-83,Mountain West Tournament,"5,866"
