rank,team,conf,record,adjoe,oe Rank,adjde,de Rank,barthag,rank.1,proj. W,Proj. L,Pro Con W,Pro Con L,Con Rec.,sos,ncsos,consos,Proj. SOS,Proj. Noncon SOS,Proj. Con SOS,elite SOS,elite noncon SOS,Opp OE,Opp DE,Opp Proj. OE,Opp Proj DE,Con Adj OE,Con Adj DE,Qual O,Qual D,Qual Barthag,Qual Games,FUN,ConPF,ConPA,ConPoss,ConOE,ConDE,ConSOSRemain,Conf Win%,WAB,WAB Rk,"Fun Rk, adjt", new,Home/Away,Win/Loss,USU_rank,USU_team,USU_conf,USU_record,USU_adjoe,USU_oe Rank,USU_adjde,USU_de Rank,USU_barthag,USU_rank.1,USU_proj. W,USU_Proj. L,USU_Pro Con W,USU_Pro Con L,USU_Con Rec.,USU_sos,USU_ncsos,USU_consos,USU_Proj. SOS,USU_Proj. Noncon SOS,USU_Proj. Con SOS,USU_elite SOS,USU_elite noncon SOS,USU_Opp OE,USU_Opp DE,USU_Opp Proj. OE,USU_Opp Proj DE,USU_Con Adj OE,USU_Con Adj DE,USU_Qual O,USU_Qual D,USU_Qual Barthag,USU_Qual Games,USU_FUN,USU_ConPF,USU_ConPA,USU_ConPoss,USU_ConOE,USU_ConDE,USU_ConSOSRemain,USU_Conf Win%,USU_WAB,USU_WAB Rk,"USU_Fun Rk, adjt",USU_ new
152,USC,P12,10-21,103.33038362389784,205,102.21702515506028,116,0.5311052645458314,152,10,21,2,16,2-16,0.6824774112296486,0.508771319589233,0.7934695407743183,0.6824774112296486,0.508771319589233,0.7934695407743183,0.7203556273616433,0.82057058973126,109.83397304810872,101.34602582194536,109.83397304810872,101.34602582194536,102.96776644222544,102.86223087883558,110.12634248019512,108.95772902483483,0.5306328767260712,11,-0.023485156653579,1227.0,1434.0,1286.4999999999998,0.9537504858142248,1.1146521570151575,0,0.1111111111111111,-8.631183556416735,189,228,68.30135098459918,H,W,123,Utah St.,MWC,17-14,109.241030906937,103,104.95746489960194,168,0.6130184367831717,123,17,14,7,11,7-11,0.5677307081904497,0.4338604919356327,0.631523043126045,0.5677307081904497,0.4338604919356327,0.631523043126045,0.8121495275606019,0.8966050720706961,106.4311261172614,103.54133070345328,106.4311261172614,103.54133070345328,107.53741453555445,105.44189556049696,111.38972976170535,116.5707947617336,0.3721902942596156,5,0.0170777353947523,1187.0,1216.0,1129.85,1.0505819356551755,1.0762490596096828,0,0.3888888888888889,-5.235616803680781,129,140,61.80213594107818
351,Southern Utah,BSky,1-27,88.88047562447522,350,114.79712856004996,331,0.0500897692456442,351,1,27,1,19,1-19,0.4136981648789114,0.6358745291175316,0.3248276191834633,0.4136981648789114,0.6358745291175316,0.3248276191834633,0.8821825812013815,0.7393008938836142,105.17198093484178,108.62056570473416,105.17198093484178,108.62056570473416,88.56993835849339,114.12510579900254,75.9795007548532,111.69972597727356,0.0117563846678619,2,-0.066862529378319,1206.0,1468.0,1292.125,0.9333462319822,1.136112992164071,0,0.05,-21.781265234116404,351,301,63.40829774132165,H,W,123,Utah St.,MWC,17-14,109.241030906937,103,104.95746489960194,168,0.6130184367831717,123,17,14,7,11,7-11,0.5677307081904497,0.4338604919356327,0.631523043126045,0.5677307081904497,0.4338604919356327,0.631523043126045,0.8121495275606019,0.8966050720706961,106.4311261172614,103.54133070345328,106.4311261172614,103.54133070345328,107.53741453555445,105.44189556049696,111.38972976170535,116.5707947617336,0.3721902942596156,5,0.0170777353947523,1187.0,1216.0,1129.85,1.0505819356551755,1.0762490596096828,0,0.3888888888888889,-5.235616803680781,129,140,61.80213594107818
107,UC Santa Barbara,BW,19-9,110.9714080344108,73,104.38057931252806,156,0.6691034484421328,107,19,9,12,4,12-4,0.4845382035441777,0.6012223697655776,0.4073634834983885,0.4845382035441777,0.6012223697655776,0.4073634834983885,0.8552385504225003,0.7751209816051713,104.81184494795572,105.2490580254698,104.81184494795572,105.2490580254698,110.4906763596928,102.96318743844571,119.26630634021797,108.09195388727976,0.7560843678274666,2,0.0355428490767976,1146.0,1042.0,1025.7624999999998,1.1172176795310806,1.0158296876713666,0,0.75,-2.6972355253664784,90,89,61.77665581247819,A,W,123,Utah St.,MWC,17-14,109.241030906937,103,104.95746489960194,168,0.6130184367831717,123,17,14,7,11,7-11,0.5677307081904497,0.4338604919356327,0.631523043126045,0.5677307081904497,0.4338604919356327,0.631523043126045,0.8121495275606019,0.8966050720706961,106.4311261172614,103.54133070345328,106.4311261172614,103.54133070345328,107.53741453555445,105.44189556049696,111.38972976170535,116.5707947617336,0.3721902942596156,5,0.0170777353947523,1187.0,1216.0,1129.85,1.0505819356551755,1.0762490596096828,0,0.3888888888888889,-5.235616803680781,129,140,61.80213594107818
84,Mississippi,SEC,19-14,111.70357718789532,65,102.74402747359952,127,0.7234204418272699,84,19,14,9,9,9-9,0.6405192678250904,0.5293300860795983,0.7271260100576834,0.6405192678250904,0.5293300860795983,0.7271260100576834,0.7635791601865871,0.8406913510140617,107.09860107590757,100.95069328850668,107.09860107590757,100.95069328850668,111.01376560580272,102.42995763190436,120.55237605776028,114.99543752213938,0.6324417700565057,7,0.0260267316302387,1294.0,1323.0,1238.9124999999997,1.0444643992210914,1.067872024860513,0,0.5,-2.606049088755458,87,124,67.8421048583181,H,W,123,Utah St.,MWC,17-14,109.241030906937,103,104.95746489960194,168,0.6130184367831717,123,17,14,7,11,7-11,0.5677307081904497,0.4338604919356327,0.631523043126045,0.5677307081904497,0.4338604919356327,0.631523043126045,0.8121495275606019,0.8966050720706961,106.4311261172614,103.54133070345328,106.4311261172614,103.54133070345328,107.53741453555445,105.44189556049696,111.38972976170535,116.5707947617336,0.3721902942596156,5,0.0170777353947523,1187.0,1216.0,1129.85,1.0505819356551755,1.0762490596096828,0,0.3888888888888889,-5.235616803680781,129,140,61.80213594107818
174,Weber St.,BSky,17-12,106.7508071997038,146,107.23802655157958,214,0.4869111111502693,174,17,12,14,6,14-6,0.3715433487941872,0.5932295670958542,0.281334955351829,0.3715433487941872,0.5932295670958542,0.281334955351829,0.8818473595369266,0.7364127832916529,104.3976317786202,109.57410266128952,104.3976317786202,109.57410266128952,105.43871588758616,106.64498117908248,102.26294662805162,101.51234965091696,0.5211672985266068,3,-0.0224678413727169,1458.0,1332.0,1296.0,1.125,1.0277777777777777,0,0.7,-6.807160174426043,155,225,62.34164153293496,A,W,123,Utah St.,MWC,17-14,109.241030906937,103,104.95746489960194,168,0.6130184367831717,123,17,14,7,11,7-11,0.5677307081904497,0.4338604919356327,0.631523043126045,0.5677307081904497,0.4338604919356327,0.631523043126045,0.8121495275606019,0.8966050720706961,106.4311261172614,103.54133070345328,106.4311261172614,103.54133070345328,107.53741453555445,105.44189556049696,111.38972976170535,116.5707947617336,0.3721902942596156,5,0.0170777353947523,1187.0,1216.0,1129.85,1.0505819356551755,1.0762490596096828,0,0.3888888888888889,-5.235616803680781,129,140,61.80213594107818
54,BYU,WCC,22-12,114.36038747955848,38,101.0966929196609,99,0.8049759353535663,54,22,12,13,5,13-5,0.6495890207959795,0.6506454370730782,0.6297500079902325,0.6495890207959795,0.6506454370730782,0.6297500079902325,0.7516446142001028,0.7111916583967771,109.87381254856864,102.88326698165648,109.87381254856864,102.88326698165648,116.6195310609797,102.92643685642392,114.28410679685042,102.2132836499076,0.7830785097014942,11,0.0271228858485628,1476.0,1356.0,1275.225,1.1574428042110216,1.0633417632182556,0,0.7222222222222222,0.6454592257806113,51,117,70.96847245410606,N,L,123,Utah St.,MWC,17-14,109.241030906937,103,104.95746489960194,168,0.6130184367831717,123,17,14,7,11,7-11,0.5677307081904497,0.4338604919356327,0.631523043126045,0.5677307081904497,0.4338604919356327,0.631523043126045,0.8121495275606019,0.8966050720706961,106.4311261172614,103.54133070345328,106.4311261172614,103.54133070345328,107.53741453555445,105.44189556049696,111.38972976170535,116.5707947617336,0.3721902942596156,5,0.0170777353947523,1187.0,1216.0,1129.85,1.0505819356551755,1.0762490596096828,0,0.3888888888888889,-5.235616803680781,129,140,61.80213594107818
149,Pacific,WCC,17-16,108.97760972636796,106,107.5025371321406,218,0.5391004933914513,149,17,16,6,12,6-12,0.597036464534674,0.5444069968727872,0.6588543310359876,0.597036464534674,0.5444069968727872,0.6588543310359876,0.8072029090500487,0.8332220186249233,108.21306624466366,103.846636311432,108.21306624466366,103.846636311432,107.6438245197075,108.24691639597349,107.241269356543,108.49395097235742,0.4666613867854587,5,0.0755509708879068,1277.0,1360.0,1207.35,1.057688325671926,1.1264339255394042,0,0.3333333333333333,-6.042690130916314,144,39,65.69048103416948,H,L,123,Utah St.,MWC,17-14,109.241030906937,103,104.95746489960194,168,0.6130184367831717,123,17,14,7,11,7-11,0.5677307081904497,0.4338604919356327,0.631523043126045,0.5677307081904497,0.4338604919356327,0.631523043126045,0.8121495275606019,0.8966050720706961,106.4311261172614,103.54133070345328,106.4311261172614,103.54133070345328,107.53741453555445,105.44189556049696,111.38972976170535,116.5707947617336,0.3721902942596156,5,0.0170777353947523,1187.0,1216.0,1129.85,1.0505819356551755,1.0762490596096828,0,0.3888888888888889,-5.235616803680781,129,140,61.80213594107818
219,Utah Valley,WAC,18-12,102.1672180751346,225,106.74757453176028,206,0.3765201761775534,219,18,12,13,3,13-3,0.4073473508042277,0.4871332579028715,0.3446052079883582,0.4073473508042277,0.4871332579028715,0.3446052079883582,0.8733113186573311,0.8103052392115341,103.72990987078336,107.31874755391132,103.72990987078336,107.31874755391132,101.03743401565204,104.07401428688384,87.8830276147888,104.50464480742832,0.1200364090937697,3,0.1084676536794495,1049.0,1006.0,1000.4875,1.048488861679931,1.0055098139656915,0,0.8125,-5.811715917715907,138,14,60.77108111691863,H,W,123,Utah St.,MWC,17-14,109.241030906937,103,104.95746489960194,168,0.6130184367831717,123,17,14,7,11,7-11,0.5677307081904497,0.4338604919356327,0.631523043126045,0.5677307081904497,0.4338604919356327,0.631523043126045,0.8121495275606019,0.8966050720706961,106.4311261172614,103.54133070345328,106.4311261172614,103.54133070345328,107.53741453555445,105.44189556049696,111.38972976170535,116.5707947617336,0.3721902942596156,5,0.0170777353947523,1187.0,1216.0,1129.85,1.0505819356551755,1.0762490596096828,0,0.3888888888888889,-5.235616803680781,129,140,61.80213594107818
277,Western Illinois,Sum,7-20,94.5707677140771,328,103.7608089404473,146,0.2560675332086752,277,7,20,4,10,4-10,0.4664042218059676,0.4532280761445926,0.4717202753480967,0.4664042218059676,0.4532280761445926,0.4717202753480967,0.8675422046137292,0.8553817850421735,105.7623980070103,107.39671299595554,105.7623980070103,107.39671299595554,98.11090408150208,105.47381122381418,81.03052312768989,98.90574530342352,0.0917521577963528,1,-0.064074210293298,867.0,923.0,869.6999999999999,0.996895481200414,1.0612855007473845,0,0.2857142857142857,-14.245560839088984,292,298,60.578593910574234,H,W,123,Utah St.,MWC,17-14,109.241030906937,103,104.95746489960194,168,0.6130184367831717,123,17,14,7,11,7-11,0.5677307081904497,0.4338604919356327,0.631523043126045,0.5677307081904497,0.4338604919356327,0.631523043126045,0.8121495275606019,0.8966050720706961,106.4311261172614,103.54133070345328,106.4311261172614,103.54133070345328,107.53741453555445,105.44189556049696,111.38972976170535,116.5707947617336,0.3721902942596156,5,0.0170777353947523,1187.0,1216.0,1129.85,1.0505819356551755,1.0762490596096828,0,0.3888888888888889,-5.235616803680781,129,140,61.80213594107818
107,UC Santa Barbara,BW,19-9,110.9714080344108,73,104.38057931252806,156,0.6691034484421328,107,19,9,12,4,12-4,0.4845382035441777,0.6012223697655776,0.4073634834983885,0.4845382035441777,0.6012223697655776,0.4073634834983885,0.8552385504225003,0.7751209816051713,104.81184494795572,105.2490580254698,104.81184494795572,105.2490580254698,110.4906763596928,102.96318743844571,119.26630634021797,108.09195388727976,0.7560843678274666,2,0.0355428490767976,1146.0,1042.0,1025.7624999999998,1.1172176795310806,1.0158296876713666,0,0.75,-2.6972355253664784,90,89,61.77665581247819,H,W,123,Utah St.,MWC,17-14,109.241030906937,103,104.95746489960194,168,0.6130184367831717,123,17,14,7,11,7-11,0.5677307081904497,0.4338604919356327,0.631523043126045,0.5677307081904497,0.4338604919356327,0.631523043126045,0.8121495275606019,0.8966050720706961,106.4311261172614,103.54133070345328,106.4311261172614,103.54133070345328,107.53741453555445,105.44189556049696,111.38972976170535,116.5707947617336,0.3721902942596156,5,0.0170777353947523,1187.0,1216.0,1129.85,1.0505819356551755,1.0762490596096828,0,0.3888888888888889,-5.235616803680781,129,140,61.80213594107818
