rank,team,conf,record,adjoe,oe Rank,adjde,de Rank,barthag,rank.1,proj. W,Proj. L,Pro Con W,Pro Con L,Con Rec.,sos,ncsos,consos,Proj. SOS,Proj. Noncon SOS,Proj. Con SOS,elite SOS,elite noncon SOS,Opp OE,Opp DE,Opp Proj. OE,Opp Proj DE,Con Adj OE,Con Adj DE,Qual O,Qual D,Qual Barthag,Qual Games,FUN,ConPF,ConPA,ConPoss,ConOE,ConDE,ConSOSRemain,Conf Win%,WAB,WAB Rk,"Fun Rk, adjt", new,Home/Away,Win/Loss,Season,USU_rank,USU_team,USU_conf,USU_record,USU_adjoe,USU_oe Rank,USU_adjde,USU_de Rank,USU_barthag,USU_rank.1,USU_proj. W,USU_Proj. L,USU_Pro Con W,USU_Pro Con L,USU_Con Rec.,USU_sos,USU_ncsos,USU_consos,USU_Proj. SOS,USU_Proj. Noncon SOS,USU_Proj. Con SOS,USU_elite SOS,USU_elite noncon SOS,USU_Opp OE,USU_Opp DE,USU_Opp Proj. OE,USU_Opp Proj DE,USU_Con Adj OE,USU_Con Adj DE,USU_Qual O,USU_Qual D,USU_Qual Barthag,USU_Qual Games,USU_FUN,USU_ConPF,USU_ConPA,USU_ConPoss,USU_ConOE,USU_ConDE,USU_ConSOSRemain,USU_Conf Win%,USU_WAB,USU_WAB Rk,"USU_Fun Rk, adjt",USU_ new
23,Texas,B12,20-14,112.14572237462846,46,93.64123882643844,16,0.8883279790100644,23,20,14,8,10,8-10,0.6965322981657821,0.5031791847944672,0.8211990572172151,0.6965322981657821,0.5031791847944672,0.8211990572172151,0.678536140593825,0.8097639069860588,108.77092997962612,98.76732847986352,108.77092997962612,98.76732847986352,110.3585138033743,94.16890177939652,118.3737166787092,101.75751195691107,0.8506135960798923,16,-0.0700222110307797,1171.0,1155.0,1142.8000000000004,1.0246762338116902,1.0106755337766884,0,0.4444444444444444,0.7736706699665168,41,312,62.17626202500982,H,W,2015,124,Utah St.,MWC,17-13,107.71652913195156,99,103.61589421877052,156,0.6097690544360803,124,17,13,11,7,11-7,0.5112100383871048,0.4966057407221657,0.5142337313489502,0.5112100383871048,0.4966057407221657,0.5142337313489502,0.8440096800224115,0.8524735690801553,103.6136184917266,103.33879059235043,103.6136184917266,103.33879059235043,107.65107190305024,101.24119945409932,110.91557617632752,101.9352031483686,0.725312372947435,4,-0.0075780311469962,1193.0,1118.0,1121.9,1.0633746323201714,0.9965237543453072,0,0.6111111111111112,-5.904897308146815,138,184,63.45138994036958
16,Kansas,B12,27-9,114.89233722843082,27,92.86684614479312,12,0.920380713336775,16,27,9,13,5,13-5,0.7849534721763198,0.7174986962764974,0.8175498291168561,0.7849534721763198,0.7174986962764974,0.8175498291168561,0.6276894984118154,0.6838494356835768,111.25671410595666,97.20417964364512,111.25671410595666,97.20417964364512,115.13484040699944,91.34742318352755,119.52785073336072,98.87122157423777,0.8986131038838959,21,0.0771772464584782,1303.0,1180.0,1218.4000000000003,1.0694353250164146,0.9684832567301376,0,0.7222222222222222,8.740190577566294,7,27,66.58883784461975,H,W,2015,124,Utah St.,MWC,17-13,107.71652913195156,99,103.61589421877052,156,0.6097690544360803,124,17,13,11,7,11-7,0.5112100383871048,0.4966057407221657,0.5142337313489502,0.5112100383871048,0.4966057407221657,0.5142337313489502,0.8440096800224115,0.8524735690801553,103.6136184917266,103.33879059235043,103.6136184917266,103.33879059235043,107.65107190305024,101.24119945409932,110.91557617632752,101.9352031483686,0.725312372947435,4,-0.0075780311469962,1193.0,1118.0,1121.9,1.0633746323201714,0.9965237543453072,0,0.6111111111111112,-5.904897308146815,138,184,63.45138994036958
246,Weber St.,BSky,11-17,100.2479556513063,252,106.92751024418116,224,0.3226103843051369,246,11,17,8,10,8-10,0.4330600191454324,0.5899860019125969,0.3457605685473571,0.4330600191454324,0.5899860019125969,0.3457605685473571,0.8731271383340825,0.7651416922414929,104.67195430052828,107.26900388469778,104.67195430052828,107.26900388469778,99.84323433260906,106.75567704604518,134.36826243971947,154.18730495951257,0.1704820799671139,3,-0.0273887038528609,1210.0,1238.0,1160.2000000000005,1.0429236338562315,1.0670574038958798,0,0.4444444444444444,-11.613442688359806,249,230,62.60337573903269,H,W,2015,124,Utah St.,MWC,17-13,107.71652913195156,99,103.61589421877052,156,0.6097690544360803,124,17,13,11,7,11-7,0.5112100383871048,0.4966057407221657,0.5142337313489502,0.5112100383871048,0.4966057407221657,0.5142337313489502,0.8440096800224115,0.8524735690801553,103.6136184917266,103.33879059235043,103.6136184917266,103.33879059235043,107.65107190305024,101.24119945409932,110.91557617632752,101.9352031483686,0.725312372947435,4,-0.0075780311469962,1193.0,1118.0,1121.9,1.0633746323201714,0.9965237543453072,0,0.6111111111111112,-5.904897308146815,138,184,63.45138994036958
55,Illinois,B10,19-14,108.78602698959082,84,96.69307482545896,53,0.7949740308361344,55,19,14,9,9,9-9,0.6542555894425508,0.4621193395605459,0.7748803673598866,0.6542555894425508,0.4621193395605459,0.7748803673598866,0.7041613976592853,0.8171437558862528,108.7203241510486,100.63210455969542,108.7203241510486,100.63210455969542,107.79436994534916,93.64169239005278,110.11021002773349,102.2676603721136,0.7005073902461426,13,0.0018863496091685,1140.0,1137.0,1130.4,1.0084925690021231,1.0058386411889595,0,0.5,-0.6622602005771053,57,165,64.98328100618504,A,W,2015,124,Utah St.,MWC,17-13,107.71652913195156,99,103.61589421877052,156,0.6097690544360803,124,17,13,11,7,11-7,0.5112100383871048,0.4966057407221657,0.5142337313489502,0.5112100383871048,0.4966057407221657,0.5142337313489502,0.8440096800224115,0.8524735690801553,103.6136184917266,103.33879059235043,103.6136184917266,103.33879059235043,107.65107190305024,101.24119945409932,110.91557617632752,101.9352031483686,0.725312372947435,4,-0.0075780311469962,1193.0,1118.0,1121.9,1.0633746323201714,0.9965237543453072,0,0.6111111111111112,-5.904897308146815,138,184,63.45138994036958
161,Santa Clara,WCC,12-18,106.54479212717652,122,106.14448963066036,206,0.5108203981342427,161,12,18,7,11,7-11,0.5991618359343185,0.5309166712002868,0.6396855722399412,0.5991618359343185,0.5309166712002868,0.6396855722399412,0.7793820113151813,0.8223560514968083,107.60843520159642,102.583735701836,107.60843520159642,102.583735701836,103.82174261837052,104.65937152021117,106.41608103655646,112.71907298303276,0.3403505784288256,7,-0.0173118687415197,1088.0,1218.0,1097.0,0.99179580674567,1.1103008204193254,0,0.3888888888888889,-8.653031577972921,184,207,60.98976402917821,H,W,2015,124,Utah St.,MWC,17-13,107.71652913195156,99,103.61589421877052,156,0.6097690544360803,124,17,13,11,7,11-7,0.5112100383871048,0.4966057407221657,0.5142337313489502,0.5112100383871048,0.4966057407221657,0.5142337313489502,0.8440096800224115,0.8524735690801553,103.6136184917266,103.33879059235043,103.6136184917266,103.33879059235043,107.65107190305024,101.24119945409932,110.91557617632752,101.9352031483686,0.725312372947435,4,-0.0075780311469962,1193.0,1118.0,1121.9,1.0633746323201714,0.9965237543453072,0,0.6111111111111112,-5.904897308146815,138,184,63.45138994036958
60,Mississippi,SEC,21-13,113.659931390639,32,101.429706258036,118,0.7873820373316655,60,21,13,11,7,11-7,0.6717451018402382,0.5120468299332933,0.7572121939255676,0.6717451018402382,0.5120468299332933,0.7572121939255676,0.7327601042431343,0.8382474918999026,107.9181464819252,99.76983034495122,107.9181464819252,99.76983034495122,116.75290532255131,101.01480879137355,127.13638717783272,106.46543005327788,0.8849903872853625,13,0.0378902146916209,1311.0,1256.0,1195.4,1.0967040321231387,1.0506943282583234,0,0.6111111111111112,-0.5537500986734074,56,98,65.93801181546581,A,L,2015,124,Utah St.,MWC,17-13,107.71652913195156,99,103.61589421877052,156,0.6097690544360803,124,17,13,11,7,11-7,0.5112100383871048,0.4966057407221657,0.5142337313489502,0.5112100383871048,0.4966057407221657,0.5142337313489502,0.8440096800224115,0.8524735690801553,103.6136184917266,103.33879059235043,103.6136184917266,103.33879059235043,107.65107190305024,101.24119945409932,110.91557617632752,101.9352031483686,0.725312372947435,4,-0.0075780311469962,1193.0,1118.0,1121.9,1.0633746323201714,0.9965237543453072,0,0.6111111111111112,-5.904897308146815,138,184,63.45138994036958
114,UC Davis,BW,23-7,111.7478049025882,55,106.90589363269422,223,0.6246657815704154,114,23,7,14,2,14-2,0.4640968204211376,0.356274677278693,0.5112688899661897,0.4640968204211376,0.356274677278693,0.5112688899661897,0.8747456233906006,0.9222549685303404,103.47809990983608,105.1275063320513,103.47809990983608,105.1275063320513,112.48473025292526,103.02462563796,110.29347116348006,112.80488701606438,0.4356287983078489,1,0.14259249597077,1148.0,1038.0,1026.0,1.1189083820662769,1.0116959064327486,0,0.875,-0.7048169630772879,59,3,62.48186462924196,A,L,2015,124,Utah St.,MWC,17-13,107.71652913195156,99,103.61589421877052,156,0.6097690544360803,124,17,13,11,7,11-7,0.5112100383871048,0.4966057407221657,0.5142337313489502,0.5112100383871048,0.4966057407221657,0.5142337313489502,0.8440096800224115,0.8524735690801553,103.6136184917266,103.33879059235043,103.6136184917266,103.33879059235043,107.65107190305024,101.24119945409932,110.91557617632752,101.9352031483686,0.725312372947435,4,-0.0075780311469962,1193.0,1118.0,1121.9,1.0633746323201714,0.9965237543453072,0,0.6111111111111112,-5.904897308146815,138,184,63.45138994036958
28,BYU,WCC,23-10,120.04311722885495,10,102.39315763000684,134,0.861625581631582,28,23,10,13,5,13-5,0.6230350615916415,0.624836113200699,0.6011715059291295,0.6230350615916415,0.624836113200699,0.6011715059291295,0.7814333519036439,0.7990944249419811,107.8173959805494,101.82378273945235,107.8173959805494,101.82378273945235,119.93623455114388,100.37897106620647,139.73196553088653,121.4027605058959,0.8343869251875983,7,-0.0301243267936833,1460.0,1266.0,1234.9,1.1822819661511053,1.0251842254433556,0,0.7222222222222222,0.9312773064697568,38,236,70.23905345565885,H,L,2015,124,Utah St.,MWC,17-13,107.71652913195156,99,103.61589421877052,156,0.6097690544360803,124,17,13,11,7,11-7,0.5112100383871048,0.4966057407221657,0.5142337313489502,0.5112100383871048,0.4966057407221657,0.5142337313489502,0.8440096800224115,0.8524735690801553,103.6136184917266,103.33879059235043,103.6136184917266,103.33879059235043,107.65107190305024,101.24119945409932,110.91557617632752,101.9352031483686,0.725312372947435,4,-0.0075780311469962,1193.0,1118.0,1121.9,1.0633746323201714,0.9965237543453072,0,0.6111111111111112,-5.904897308146815,138,184,63.45138994036958
154,USC,P12,12-20,100.80497256815984,243,100.07429166288588,97,0.5209030281393213,154,12,20,3,15,3-15,0.6404549244256679,0.4482763520732789,0.7518750909822508,0.6404549244256679,0.4482763520732789,0.7518750909822508,0.7511686373648861,0.8888813361184685,107.6898028030648,100.92677249924596,107.6898028030648,100.92677249924596,99.10130213808702,98.65193914277148,100.91132185596496,106.78402120944828,0.3428744002854587,7,-0.0164385981798991,1188.0,1318.0,1262.1,0.9412883289755168,1.0442912605974168,0,0.1666666666666666,-8.92056525461844,197,205,67.95042363268061,A,L,2015,124,Utah St.,MWC,17-13,107.71652913195156,99,103.61589421877052,156,0.6097690544360803,124,17,13,11,7,11-7,0.5112100383871048,0.4966057407221657,0.5142337313489502,0.5112100383871048,0.4966057407221657,0.5142337313489502,0.8440096800224115,0.8524735690801553,103.6136184917266,103.33879059235043,103.6136184917266,103.33879059235043,107.65107190305024,101.24119945409932,110.91557617632752,101.9352031483686,0.725312372947435,4,-0.0075780311469962,1193.0,1118.0,1121.9,1.0633746323201714,0.9965237543453072,0,0.6111111111111112,-5.904897308146815,138,184,63.45138994036958
318,Utah Valley,WAC,9-19,93.12628479383858,333,108.09460907952632,242,0.1526353501555693,318,9,19,5,9,5-9,0.3806746309705188,0.468481231675374,0.3034987972496253,0.3806746309705188,0.468481231675374,0.3034987972496253,0.8798649192606146,0.8146270366729033,102.56139578796288,107.17167991619732,102.56139578796288,107.17167991619732,97.26271570000326,111.35687497570676,82.095512026263,96.20431138746632,0.1389791894691138,2,0.0318752253336696,834.0,897.0,835.6,0.9980852082336046,1.0734801340354236,0,0.3571428571428571,-14.129993821649236,289,110,61.81354114948797,A,W,2015,124,Utah St.,MWC,17-13,107.71652913195156,99,103.61589421877052,156,0.6097690544360803,124,17,13,11,7,11-7,0.5112100383871048,0.4966057407221657,0.5142337313489502,0.5112100383871048,0.4966057407221657,0.5142337313489502,0.8440096800224115,0.8524735690801553,103.6136184917266,103.33879059235043,103.6136184917266,103.33879059235043,107.65107190305024,101.24119945409932,110.91557617632752,101.9352031483686,0.725312372947435,4,-0.0075780311469962,1193.0,1118.0,1121.9,1.0633746323201714,0.9965237543453072,0,0.6111111111111112,-5.904897308146815,138,184,63.45138994036958
248,Cal St. Bakersfield,WAC,11-19,100.22472097902929,253,107.02901409592246,227,0.319650493897377,248,11,19,7,7,7-7,0.3641423619185927,0.4422764546275616,0.2797288269378052,0.3641423619185927,0.4422764546275616,0.2797288269378052,0.9005636159747468,0.8607792222189105,100.18762722718456,106.28802598813786,100.18762722718456,106.28802598813786,102.69790201433136,111.19204229983208,52.69695387247955,73.6405392021499,0.0208702943310407,1,-0.1275999545402509,888.0,879.0,838.4000000000001,1.0591603053435112,1.048425572519084,0,0.5,-14.362948222343771,293,349,60.51930331403178,H,W,2015,124,Utah St.,MWC,17-13,107.71652913195156,99,103.61589421877052,156,0.6097690544360803,124,17,13,11,7,11-7,0.5112100383871048,0.4966057407221657,0.5142337313489502,0.5112100383871048,0.4966057407221657,0.5142337313489502,0.8440096800224115,0.8524735690801553,103.6136184917266,103.33879059235043,103.6136184917266,103.33879059235043,107.65107190305024,101.24119945409932,110.91557617632752,101.9352031483686,0.725312372947435,4,-0.0075780311469962,1193.0,1118.0,1121.9,1.0633746323201714,0.9965237543453072,0,0.6111111111111112,-5.904897308146815,138,184,63.45138994036958
229,Idaho,BSky,11-17,107.72809184863502,98,112.90047890722911,323,0.3683486251752062,229,11,17,8,10,8-10,0.4058979842528316,0.5091214667821716,0.3449367643966257,0.4058979842528316,0.5091214667821716,0.3449367643966257,0.9080599812461194,0.8708756423805473,104.46295382184007,108.48170852826232,104.46295382184007,108.48170852826232,105.56395783301058,110.9263796916028,0.0,0.0,0.0,0,-0.0829899880211822,1373.0,1366.0,1238.4,1.108688630490956,1.1030361757105942,0,0.4444444444444444,-12.717420531826717,266,321,67.31650818659698,H,W,2015,124,Utah St.,MWC,17-13,107.71652913195156,99,103.61589421877052,156,0.6097690544360803,124,17,13,11,7,11-7,0.5112100383871048,0.4966057407221657,0.5142337313489502,0.5112100383871048,0.4966057407221657,0.5142337313489502,0.8440096800224115,0.8524735690801553,103.6136184917266,103.33879059235043,103.6136184917266,103.33879059235043,107.65107190305024,101.24119945409932,110.91557617632752,101.9352031483686,0.725312372947435,4,-0.0075780311469962,1193.0,1118.0,1121.9,1.0633746323201714,0.9965237543453072,0,0.6111111111111112,-5.904897308146815,138,184,63.45138994036958
99,South Dakota St.,Sum,22-11,108.7218903165665,85,102.12389222481728,126,0.6726013323182598,99,22,11,12,4,12-4,0.426369164825281,0.4795245104116204,0.3546073071186141,0.426369164825281,0.4795245104116204,0.3546073071186141,0.860480431890774,0.788001829973057,103.54255585281508,106.03222853592922,103.54255585281508,106.03222853592922,106.9149128608208,99.8836191422485,112.6554383648842,101.49672037287228,0.7684421846476754,5,-0.0183435237409212,1181.0,1005.0,1055.6,1.118794998105343,0.9520651762031072,0,0.75,-4.421315036268958,111,209,65.76973468454077,H,L,2015,124,Utah St.,MWC,17-13,107.71652913195156,99,103.61589421877052,156,0.6097690544360803,124,17,13,11,7,11-7,0.5112100383871048,0.4966057407221657,0.5142337313489502,0.5112100383871048,0.4966057407221657,0.5142337313489502,0.8440096800224115,0.8524735690801553,103.6136184917266,103.33879059235043,103.6136184917266,103.33879059235043,107.65107190305024,101.24119945409932,110.91557617632752,101.9352031483686,0.725312372947435,4,-0.0075780311469962,1193.0,1118.0,1121.9,1.0633746323201714,0.9965237543453072,0,0.6111111111111112,-5.904897308146815,138,184,63.45138994036958
346,San Jose St.,MWC,0-28,88.13320084964357,348,109.0680506345466,267,0.0793719605552882,346,0,28,0,18,0-18,0.5575201944546502,0.5036856462538506,0.587428276788428,0.5575201944546502,0.5036856462538506,0.587428276788428,0.8433836669400027,0.88788464885115,105.86088951984462,103.4610417251959,105.86088951984462,103.4610417251959,86.74943596660376,108.5151646650663,96.99451136367853,114.12382092794152,0.1335138895032644,3,-0.0849457372744515,926.0,1280.0,1141.0000000000002,0.8115687992988605,1.1218229623137597,0,0.0,-21.153798294225908,347,323,63.944069991561435,H,W,2015,124,Utah St.,MWC,17-13,107.71652913195156,99,103.61589421877052,156,0.6097690544360803,124,17,13,11,7,11-7,0.5112100383871048,0.4966057407221657,0.5142337313489502,0.5112100383871048,0.4966057407221657,0.5142337313489502,0.8440096800224115,0.8524735690801553,103.6136184917266,103.33879059235043,103.6136184917266,103.33879059235043,107.65107190305024,101.24119945409932,110.91557617632752,101.9352031483686,0.725312372947435,4,-0.0075780311469962,1193.0,1118.0,1121.9,1.0633746323201714,0.9965237543453072,0,0.6111111111111112,-5.904897308146815,138,184,63.45138994036958
49,Boise St.,MWC,23-9,111.4173907447393,57,97.8740860749657,61,0.8161410802743224,49,23,9,14,4,14-4,0.5441460882443664,0.5406264285466518,0.5344613287318688,0.5441460882443664,0.5406264285466518,0.5344613287318688,0.8006955945858311,0.7610317546414759,105.33057054917752,103.22130259356052,105.33057054917752,103.22130259356052,111.6919513080616,96.56317280211438,115.87241736171754,96.4770342199857,0.8915453838913936,7,0.0150704547345468,1238.0,1041.0,1116.0000000000002,1.1093189964157704,0.932795698924731,0,0.7777777777777778,0.4685272211063733,44,139,62.837175424797856,A,W,2015,124,Utah St.,MWC,17-13,107.71652913195156,99,103.61589421877052,156,0.6097690544360803,124,17,13,11,7,11-7,0.5112100383871048,0.4966057407221657,0.5142337313489502,0.5112100383871048,0.4966057407221657,0.5142337313489502,0.8440096800224115,0.8524735690801553,103.6136184917266,103.33879059235043,103.6136184917266,103.33879059235043,107.65107190305024,101.24119945409932,110.91557617632752,101.9352031483686,0.725312372947435,4,-0.0075780311469962,1193.0,1118.0,1121.9,1.0633746323201714,0.9965237543453072,0,0.6111111111111112,-5.904897308146815,138,184,63.45138994036958
203,Fresno St.,MWC,13-17,102.74853780546242,203,105.97175219836058,202,0.4121192448704421,203,13,17,10,8,10-8,0.5530696387878085,0.5092046508903926,0.5674652773328,0.5530696387878085,0.5092046508903926,0.5674652773328,0.8283184879414178,0.8778488363353442,103.7286364211371,101.77137905882016,103.7286364211371,101.77137905882016,103.36062448705688,102.52585944818746,105.63214487866986,106.80299207487091,0.4683506300873223,4,0.0549320008258764,1168.0,1200.0,1172.0,0.9965870307167236,1.023890784982935,0,0.5555555555555556,-9.173974721050696,204,62,64.74381266891437,A,L,2015,124,Utah St.,MWC,17-13,107.71652913195156,99,103.61589421877052,156,0.6097690544360803,124,17,13,11,7,11-7,0.5112100383871048,0.4966057407221657,0.5142337313489502,0.5112100383871048,0.4966057407221657,0.5142337313489502,0.8440096800224115,0.8524735690801553,103.6136184917266,103.33879059235043,103.6136184917266,103.33879059235043,107.65107190305024,101.24119945409932,110.91557617632752,101.9352031483686,0.725312372947435,4,-0.0075780311469962,1193.0,1118.0,1121.9,1.0633746323201714,0.9965237543453072,0,0.6111111111111112,-5.904897308146815,138,184,63.45138994036958
140,New Mexico,MWC,15-16,100.99094234114278,235,98.82290279043524,70,0.5620698292786385,140,15,16,7,11,7-11,0.5400375710860547,0.4731264802007147,0.5933485415206442,0.5400375710860547,0.4731264802007147,0.5933485415206442,0.8290714547374088,0.864095367125219,104.60684039813307,103.42565684470684,104.60684039813307,103.42565684470684,100.4686907188125,98.8384929378896,100.19216102413932,102.03895964024572,0.4476810696193843,5,-0.0282936958333788,1086.0,1098.0,1102.0,0.985480943738657,0.9963702359346642,0,0.3888888888888889,-8.046049438294979,175,233,62.15720121526268,H,L,2015,124,Utah St.,MWC,17-13,107.71652913195156,99,103.61589421877052,156,0.6097690544360803,124,17,13,11,7,11-7,0.5112100383871048,0.4966057407221657,0.5142337313489502,0.5112100383871048,0.4966057407221657,0.5142337313489502,0.8440096800224115,0.8524735690801553,103.6136184917266,103.33879059235043,103.6136184917266,103.33879059235043,107.65107190305024,101.24119945409932,110.91557617632752,101.9352031483686,0.725312372947435,4,-0.0075780311469962,1193.0,1118.0,1121.9,1.0633746323201714,0.9965237543453072,0,0.6111111111111112,-5.904897308146815,138,184,63.45138994036958
217,Air Force,MWC,12-17,106.91434787560824,114,111.42531604422814,310,0.383373193884844,217,12,17,6,12,6-12,0.5030585546394782,0.3214698884661263,0.5731810099328939,0.5030585546394782,0.3214698884661263,0.5731810099328939,0.8387009466923284,0.917563507599588,102.4801892431482,103.57967914878608,102.4801892431482,103.57967914878608,104.8179790594859,111.39473444287842,101.588823967804,116.4272826132784,0.1725254333452303,5,-0.0072621313753316,1123.0,1211.0,1096.7,1.0239810340111242,1.1042217561776235,0,0.3333333333333333,-9.984579107216945,216,182,60.99736155315841,H,W,2015,124,Utah St.,MWC,17-13,107.71652913195156,99,103.61589421877052,156,0.6097690544360803,124,17,13,11,7,11-7,0.5112100383871048,0.4966057407221657,0.5142337313489502,0.5112100383871048,0.4966057407221657,0.5142337313489502,0.8440096800224115,0.8524735690801553,103.6136184917266,103.33879059235043,103.6136184917266,103.33879059235043,107.65107190305024,101.24119945409932,110.91557617632752,101.9352031483686,0.725312372947435,4,-0.0075780311469962,1193.0,1118.0,1121.9,1.0633746323201714,0.9965237543453072,0,0.6111111111111112,-5.904897308146815,138,184,63.45138994036958
