Date,Opponent,Home/Away,Win/Loss,Score,Game Type,Attendance
2011-10-28,UC San Diego,H,W,74-42,Exhibition,"9,519"
2011-11-05,Adams State,H,W,73-63,Exhibition,"7,331"
2011-11-11,BYU,H,W,69-62,Non-Conference,"10,270"
2011-11-15,Weber State,A,L,63-73,Non-Conference,"9,359"
2011-11-19,Southern Utah,H,W,65-62,Non-Conference,"10,068"
2011-11-22,Texas A&M Corpus Christi,A,L,55-58,Non-Conference,"1,382"
2011-11-26,Idaho State,A,W,75-62,Non-Conference,"2,545"
2011-11-30,Denver,H,L,54-67,Non-Conference,"10,056"
2011-12-03,Pacific,A,L,57-65,Non-Conference,"2,316"
2011-12-06,Utah Valley,H,W,63-54,Non-Conference,"10,141"
2011-12-10,Wichita State,A,L,76-83,Non-Conference,"10,386"
2011-12-17,Seattle,H,W,78-53,Non-Conference,"9,337"
2011-12-20,UT Arlington,H,W,73-69,Athletes In Action Classic,"9,666"
2011-12-21,St. Peter's,H,W,72-47,Athletes In Action Classic,"9,959"
2011-12-22,Kent State,H,W,81-62,Athletes In Action Classic,"10,059"
2011-12-31,Mississippi State,A,L,64-66,Non-Conference,"7,385"
2012-01-05,Fresno State,H,W,72-53,Conference,"9,010"
2012-01-07,Nevada,H,L,71-78,Conference,"10,270"
2012-01-12,New Mexico State,A,L,60-80,Conference,"5,214"
2012-01-14,Louisiana Tech,A,W,69-65,Conference,"4,099"
2012-01-19,Seattle,A,L,66-73,Non-Conference,"2,510"
2012-01-21,Idaho,A,L,54-57,Conference,"2,359"
2012-01-26,Hawai'i,H,W,77-72,Conference,"9,870"
2012-01-28,San Jose State,H,W,82-65,Conference,"10,270"
2012-02-02,Nevada,A,L,52-53,Conference,"9,988"
2012-02-04,Fresno State,A,L,54-60,Conference,"7,590"
2012-02-09,Louisiana Tech,H,W,77-63,Conference,"9,643"
2012-02-11,New Mexico State,H,L,69-80,Conference,"10,067"
2012-02-14,Montana Tech,H,W,70-58,Non-Conference,"9,657"
2012-02-18,UC Santa Barbara,H,L,64-72,BracketBuster,"10,048"
2012-02-24,Idaho,H,W,67-50,Conference,"10,178"
2012-03-01,San Jose State,A,W,71-61,Conference,"1,563"
2012-03-03,Hawai'i,A,W,61-60,Conference,"8,192"
2012-03-08,Louisiana Tech,N,L,70-72,WAC Tournament,"1,823"
2012-03-14,Cal State Bakersfield,H,W,75-69,CIT,"2,141"
2012-03-17,Idaho,H,W,76-56,CIT,"2,430"
2012-03-21,Loyola Marymount,H,W,77-69,CIT,"5,546"
2012-03-25,Oakland,H,W,105-81,CIT,"2,092"
2012-03-28,Mercer,H,L,67-70,CIT,"6,154"
