rank,team,conf,record,adjoe,oe Rank,adjde,de Rank,barthag,rank.1,proj. W,Proj. L,Pro Con W,Pro Con L,Con Rec.,sos,ncsos,consos,Proj. SOS,Proj. Noncon SOS,Proj. Con SOS,elite SOS,elite noncon SOS,Opp OE,Opp DE,Opp Proj. OE,Opp Proj DE,Con Adj OE,Con Adj DE,Qual O,Qual D,Qual Barthag,Qual Games,FUN,ConPF,ConPA,ConPoss,ConOE,ConDE,ConSOSRemain,Conf Win%,WAB,WAB Rk,"Fun Rk, adjt", new,Home/Away,Win/Loss,Season,USU_rank,USU_team,USU_conf,USU_record,USU_adjoe,USU_oe Rank,USU_adjde,USU_de Rank,USU_barthag,USU_rank.1,USU_proj. W,USU_Proj. L,USU_Pro Con W,USU_Pro Con L,USU_Con Rec.,USU_sos,USU_ncsos,USU_consos,USU_Proj. SOS,USU_Proj. Noncon SOS,USU_Proj. Con SOS,USU_elite SOS,USU_elite noncon SOS,USU_Opp OE,USU_Opp DE,USU_Opp Proj. OE,USU_Opp Proj DE,USU_Con Adj OE,USU_Con Adj DE,USU_Qual O,USU_Qual D,USU_Qual Barthag,USU_Qual Games,USU_FUN,USU_ConPF,USU_ConPA,USU_ConPoss,USU_ConOE,USU_ConDE,USU_ConSOSRemain,USU_Conf Win%,USU_WAB,USU_WAB Rk,"USU_Fun Rk, adjt",USU_ new
7,Virginia,ACC,23-11,112.52469727218217,48,87.90168260040599,2,0.94479781907944,7,23,11,11,7,11-7,0.7496774364036684,0.5743706121930319,0.8426019222077277,0.7496774364036684,0.5743706121930319,0.8426019222077277,0.6319124987447021,0.7577780618314014,112.26890786914971,99.43601542412702,112.26890786914971,99.43601542412702,111.42247707570957,85.08878506231788,118.58873364182448,96.68360054397532,0.9128151994839976,17,-0.0622083488584369,1171.0,1066.0,1120.2375000000002,1.045314051707785,0.9515839275153704,0,0.6111111111111112,4.9582455157468805,22,303,58.95182962952413,H,W,2017,136,Utah St.,MWC,15-17,106.56712094445804,124,104.1035280396592,168,0.5668413473596362,136,15,17,7,11,7-11,0.5348233055293591,0.4303647891338576,0.5983814024771063,0.5348233055293591,0.4303647891338576,0.5983814024771063,0.8324437701193002,0.8538718324173841,105.4975897439065,102.50549563937284,105.4975897439065,102.50549563937284,106.90988364925592,105.85782542309884,117.98324692239022,121.03812764519336,0.4270312321431243,3,-0.0524657598124315,1282.0,1285.0,1213.5875,1.0563721198512674,1.0588441294921052,0,0.3888888888888889,-9.079792197892184,191,288,66.69119806048836
118,UC Irvine,BW,21-15,102.91901425216392,200,99.23074105361928,73,0.6034084370333571,118,21,15,12,4,12-4,0.4270039411167513,0.5475376078612546,0.2942215329998344,0.4270039411167513,0.5475376078612546,0.2942215329998344,0.8538152153811529,0.7687701100319143,103.34765965174424,104.64115007340348,103.34765965174424,104.64115007340348,106.5866041253292,98.77766425048364,107.45863762202576,108.49138903806023,0.4725288951654655,5,-0.050028879344518,1187.0,1004.0,1080.3625000000002,1.0987052956762196,0.9293177058626154,0,0.75,-7.2915342128450495,157,284,66.57845403903526,A,W,2017,136,Utah St.,MWC,15-17,106.56712094445804,124,104.1035280396592,168,0.5668413473596362,136,15,17,7,11,7-11,0.5348233055293591,0.4303647891338576,0.5983814024771063,0.5348233055293591,0.4303647891338576,0.5983814024771063,0.8324437701193002,0.8538718324173841,105.4975897439065,102.50549563937284,105.4975897439065,102.50549563937284,106.90988364925592,105.85782542309884,117.98324692239022,121.03812764519336,0.4270312321431243,3,-0.0524657598124315,1282.0,1285.0,1213.5875,1.0563721198512674,1.0588441294921052,0,0.3888888888888889,-9.079792197892184,191,288,66.69119806048836
292,NJIT,ASun,11-20,98.89954797711268,275,110.08280610648625,280,0.2258360693666058,292,11,20,3,11,3-11,0.3910402080553402,0.4208547124137766,0.3432987750810651,0.3910402080553402,0.4208547124137766,0.3432987750810651,0.8772891383920418,0.8359865775246547,104.49305576132016,107.7984898965054,104.49305576132016,107.7984898965054,98.46382583406664,112.72226460235166,105.00530811130832,93.82168930674548,0.78500422162798,2,-0.0251392091248274,983.0,1069.0,955.1,1.029211600879489,1.1192545283216415,0,0.2142857142857142,-14.449254751576722,288,230,68.07934509403184,H,W,2017,136,Utah St.,MWC,15-17,106.56712094445804,124,104.1035280396592,168,0.5668413473596362,136,15,17,7,11,7-11,0.5348233055293591,0.4303647891338576,0.5983814024771063,0.5348233055293591,0.4303647891338576,0.5983814024771063,0.8324437701193002,0.8538718324173841,105.4975897439065,102.50549563937284,105.4975897439065,102.50549563937284,106.90988364925592,105.85782542309884,117.98324692239022,121.03812764519336,0.4270312321431243,3,-0.0524657598124315,1282.0,1285.0,1213.5875,1.0563721198512674,1.0588441294921052,0,0.3888888888888889,-9.079792197892184,191,288,66.69119806048836
206,Idaho,BSky,19-14,102.18726688542093,216,106.03598451389789,204,0.3952799246095135,206,19,14,12,6,12-6,0.3511669335848559,0.3737507238986257,0.3152444955772228,0.3511669335848559,0.3737507238986257,0.3152444955772228,0.9219244338265457,0.9066681923616304,102.68366827799564,108.18686098564103,102.68366827799564,108.18686098564103,101.38734849743378,106.41891066211174,0.0,0.0,0.0,0,0.0208433773420747,1368.0,1329.0,1273.2125,1.074447509744053,1.0438163307381918,0,0.6666666666666666,-9.139682152118256,192,122,66.20266228170729,H,W,2017,136,Utah St.,MWC,15-17,106.56712094445804,124,104.1035280396592,168,0.5668413473596362,136,15,17,7,11,7-11,0.5348233055293591,0.4303647891338576,0.5983814024771063,0.5348233055293591,0.4303647891338576,0.5983814024771063,0.8324437701193002,0.8538718324173841,105.4975897439065,102.50549563937284,105.4975897439065,102.50549563937284,106.90988364925592,105.85782542309884,117.98324692239022,121.03812764519336,0.4270312321431243,3,-0.0524657598124315,1282.0,1285.0,1213.5875,1.0563721198512674,1.0588441294921052,0,0.3888888888888889,-9.079792197892184,191,288,66.69119806048836
17,Purdue,B10,27-8,117.25347312199436,24,94.13001495713624,21,0.9259515453740268,17,27,8,14,4,14-4,0.692601863906927,0.4944792937453153,0.7902973499065945,0.692601863906927,0.4944792937453153,0.7902973499065945,0.686164975590572,0.7994587039005505,110.22803512275668,100.36859238903938,110.22803512275668,100.36859238903938,117.8773836657268,93.33458098456325,121.8110078338116,101.03282192179358,0.8957426585141846,14,0.0341055303470011,1398.0,1252.0,1264.275,1.105772082814261,0.990290878171284,0,0.7777777777777778,5.574549369028986,19,97,69.0520194994621,N,L,2017,136,Utah St.,MWC,15-17,106.56712094445804,124,104.1035280396592,168,0.5668413473596362,136,15,17,7,11,7-11,0.5348233055293591,0.4303647891338576,0.5983814024771063,0.5348233055293591,0.4303647891338576,0.5983814024771063,0.8324437701193002,0.8538718324173841,105.4975897439065,102.50549563937284,105.4975897439065,102.50549563937284,106.90988364925592,105.85782542309884,117.98324692239022,121.03812764519336,0.4270312321431243,3,-0.0524657598124315,1282.0,1285.0,1213.5875,1.0563721198512674,1.0588441294921052,0,0.3888888888888889,-9.079792197892184,191,288,66.69119806048836
49,Texas Tech,B12,18-14,111.89552558085632,56,97.62112901171204,54,0.827701513368106,49,18,14,6,12,6-12,0.6473329431863226,0.3210337981862092,0.8773042518496214,0.6473329431863226,0.3210337981862092,0.8773042518496214,0.6899541143765778,0.9301326539514336,109.79559065734192,101.91508983088224,109.79559065734192,101.91508983088224,112.35007014625724,97.83673752287288,123.30203414748226,108.91357628790156,0.8064249440746593,14,-0.0313965097433543,1233.0,1304.0,1199.8124999999998,1.0276605719643697,1.0868364848674277,0,0.3333333333333333,-1.202738620518761,65,247,63.810451186709216,N,L,2017,136,Utah St.,MWC,15-17,106.56712094445804,124,104.1035280396592,168,0.5668413473596362,136,15,17,7,11,7-11,0.5348233055293591,0.4303647891338576,0.5983814024771063,0.5348233055293591,0.4303647891338576,0.5983814024771063,0.8324437701193002,0.8538718324173841,105.4975897439065,102.50549563937284,105.4975897439065,102.50549563937284,106.90988364925592,105.85782542309884,117.98324692239022,121.03812764519336,0.4270312321431243,3,-0.0524657598124315,1282.0,1285.0,1213.5875,1.0563721198512674,1.0588441294921052,0,0.3888888888888889,-9.079792197892184,191,288,66.69119806048836
82,BYU,WCC,22-12,109.16395081138133,84,100.3541194524948,89,0.7246560873107504,82,22,12,12,6,12-6,0.5302227131347623,0.4932054251225917,0.5305490556577185,0.5302227131347623,0.4932054251225917,0.5305490556577185,0.8076109225356074,0.8744807023981449,104.97789548639858,102.85808814127608,104.97789548639858,102.85808814127608,109.31820346369842,98.73437146277875,114.60153493927552,107.0301756964092,0.6869781427131513,6,0.0007257813343447,1417.0,1298.0,1319.15,1.0741765530834249,0.9839669484137512,0,0.6666666666666666,-2.308197999142333,81,172,76.00091497142465,N,L,2017,136,Utah St.,MWC,15-17,106.56712094445804,124,104.1035280396592,168,0.5668413473596362,136,15,17,7,11,7-11,0.5348233055293591,0.4303647891338576,0.5983814024771063,0.5348233055293591,0.4303647891338576,0.5983814024771063,0.8324437701193002,0.8538718324173841,105.4975897439065,102.50549563937284,105.4975897439065,102.50549563937284,106.90988364925592,105.85782542309884,117.98324692239022,121.03812764519336,0.4270312321431243,3,-0.0524657598124315,1282.0,1285.0,1213.5875,1.0563721198512674,1.0588441294921052,0,0.3888888888888889,-9.079792197892184,191,288,66.69119806048836
43,Indiana,B10,18-16,116.2609468606816,28,100.88989534001117,94,0.8362772077105268,43,18,16,7,11,7-11,0.67097747204675,0.4416452890966288,0.8103335945248251,0.67097747204675,0.4416452890966288,0.8103335945248251,0.673105271709785,0.7915481367140487,109.67976222241067,100.8712994701566,109.67976222241067,100.8712994701566,117.47658106863229,103.5127029939228,126.77854550560016,112.0474868776382,0.8054119542735286,16,-0.051057673927376,1365.0,1404.0,1262.8375,1.0808991655696003,1.111781998871589,0,0.3888888888888889,-1.1311476753957073,64,285,68.34083969754533,H,L,2017,136,Utah St.,MWC,15-17,106.56712094445804,124,104.1035280396592,168,0.5668413473596362,136,15,17,7,11,7-11,0.5348233055293591,0.4303647891338576,0.5983814024771063,0.5348233055293591,0.4303647891338576,0.5983814024771063,0.8324437701193002,0.8538718324173841,105.4975897439065,102.50549563937284,105.4975897439065,102.50549563937284,106.90988364925592,105.85782542309884,117.98324692239022,121.03812764519336,0.4270312321431243,3,-0.0524657598124315,1282.0,1285.0,1213.5875,1.0563721198512674,1.0588441294921052,0,0.3888888888888889,-9.079792197892184,191,288,66.69119806048836
151,Utah Valley,WAC,17-17,100.46058093436868,250,99.3689771860726,76,0.5313694325230165,151,17,17,6,8,6-8,0.4367824897133819,0.4093487804855019,0.4245360563241031,0.4367824897133819,0.4093487804855019,0.4245360563241031,0.8567440461750679,0.8327708053621234,102.84036637283737,103.5162470787897,102.84036637283737,103.5162470787897,99.69109158804264,101.0295909419317,111.81710609553554,104.02743716899327,0.6964423609424941,2,-0.0655954322926728,1033.0,1003.0,1033.8874999999998,0.9991415893895614,0.970124892698674,0,0.4285714285714285,-9.787854878863651,202,308,72.87640762820637,A,W,2017,136,Utah St.,MWC,15-17,106.56712094445804,124,104.1035280396592,168,0.5668413473596362,136,15,17,7,11,7-11,0.5348233055293591,0.4303647891338576,0.5983814024771063,0.5348233055293591,0.4303647891338576,0.5983814024771063,0.8324437701193002,0.8538718324173841,105.4975897439065,102.50549563937284,105.4975897439065,102.50549563937284,106.90988364925592,105.85782542309884,117.98324692239022,121.03812764519336,0.4270312321431243,3,-0.0524657598124315,1282.0,1285.0,1213.5875,1.0563721198512674,1.0588441294921052,0,0.3888888888888889,-9.079792197892184,191,288,66.69119806048836
185,New Orleans,Slnd,20-12,100.62409291993768,246,102.09499509267786,115,0.4583746147767424,185,20,12,13,5,13-5,0.3543587589984073,0.4799011463841661,0.2677464543318967,0.3543587589984073,0.4799011463841661,0.2677464543318967,0.8934720723975859,0.7838120036957467,103.0439970671232,107.08449976303076,103.0439970671232,107.08449976303076,99.50150187535334,100.957208572432,84.93327931003077,110.42739416767115,0.0465899266806738,3,0.0184015239080259,1314.0,1186.0,1249.5375000000004,1.0515890879625458,0.9491511859387972,0,0.7222222222222222,-6.186103800154298,136,131,66.27206444666437,H,W,2017,136,Utah St.,MWC,15-17,106.56712094445804,124,104.1035280396592,168,0.5668413473596362,136,15,17,7,11,7-11,0.5348233055293591,0.4303647891338576,0.5983814024771063,0.5348233055293591,0.4303647891338576,0.5983814024771063,0.8324437701193002,0.8538718324173841,105.4975897439065,102.50549563937284,105.4975897439065,102.50549563937284,106.90988364925592,105.85782542309884,117.98324692239022,121.03812764519336,0.4270312321431243,3,-0.0524657598124315,1282.0,1285.0,1213.5875,1.0563721198512674,1.0588441294921052,0,0.3888888888888889,-9.079792197892184,191,288,66.69119806048836
