Date,Opponent,Home/Away,Win/Loss,Score,Game Type,Attendance
2021-10-27,Montana Western,H,W,81-51,Exhibition,"6,390"
2021-11-09,UC Davis,H,L,69-72,Non-Conference,"6,554"
2021-11-12,Richmond,N,W,85-74,Veterans Classic,"3,800"
2021-11-18,Pennsylvania,N,W,87-79 (2OT),Myrtle Beach Invitational,"1,156"
2021-11-19,New Mexico State,N,W,85-58,Myrtle Beach Invitational,"1,131"
2021-11-21,Oklahoma,N,W,73-70,Myrtle Beach Invitational,"1,101"
2021-11-27,UT Arlington,H,W,80-61,Non-Conference,"8,088"
2021-11-29,Carroll College,H,W,93-63,Non-Conference,"7,524"
2021-12-02,St. Mary's,H,L,58-60,Non-Conference,"8,888"
2021-12-08,BYU,A,L,71-82,Non-Conference,"15,669"
2021-12-11,New Orleans,H,W,82-50,Non-Conference,"8,727"
2021-12-15,Weber State,A,W,95-80,Non-Conference,"6,355"
2021-12-18,Iowa,N,L,75-94,Non-Conference,"3,250"
2021-12-21,Portland State,H,W,81-62,Non-Conference,"6,945"
2021-12-29,Air Force,A,L,47-49,Conference,"1,123"
2022-01-08,New Mexico,A,W,90-87 (OT),Conference,"8,338"
2022-01-12,Colorado State,A,L,72-77,Conference,"4,578"
2022-01-15,Wyoming,H,L,69-71,Conference,"8,109"
2022-01-18,Fresno State,A,L,54-61,Conference,"5,013"
2022-01-20,Boise State,H,L,59-62,Conference,"7,548"
2022-01-26,San Diego State,H,W,75-57,Conference,"7,312"
2022-01-29,Nevada,A,W,78-49,Conference,"7,497"
2022-02-01,Air Force,H,W,73-46,Conference,"7,545"
2022-02-03,San Jose State,H,W,78-62,Conference,"8,466"
2022-02-05,UNLV,H,W,90-75,Conference,"9,029"
2022-02-08,Wyoming,A,L,76-78 (OT),Conference,"5,558"
2022-02-11,Nevada,H,L,72-85,Conference,"7,866"
2022-02-15,San Diego State,A,L,56-75,Conference,"10,516"
2022-02-19,Boise State,A,L,57-68,Conference,"10,252"
2022-02-22,New Mexico,H,W,81-56,Conference,"7,102"
2022-02-26,Colorado State,H,L,55-66,Conference,"9,219"
2022-03-04,San Jose State,A,W,75-52,Conference,"2,005"
2022-03-09,Air Force,N,W,83-56,Mountain West Tournament,
2022-03-10,Colorado State,N,L,51-53,Mountain West Tournament,
2022-03-15,Oregon,H,L,72-83,NIT,"7,023"
