rank,team,conf,record,adjoe,oe Rank,adjde,de Rank,barthag,rank.1,proj. W,Proj. L,Pro Con W,Pro Con L,Con Rec.,sos,ncsos,consos,Proj. SOS,Proj. Noncon SOS,Proj. Con SOS,elite SOS,elite noncon SOS,Opp OE,Opp DE,Opp Proj. OE,Opp Proj DE,Con Adj OE,Con Adj DE,Qual O,Qual D,Qual Barthag,Qual Games,FUN,ConPF,ConPA,ConPoss,ConOE,ConDE,ConSOSRemain,Conf Win%,WAB,WAB Rk,"Fun Rk, adjt", new,Home/Away,Win/Loss,USU_rank,USU_team,USU_conf,USU_record,USU_adjoe,USU_oe Rank,USU_adjde,USU_de Rank,USU_barthag,USU_rank.1,USU_proj. W,USU_Proj. L,USU_Pro Con W,USU_Pro Con L,USU_Con Rec.,USU_sos,USU_ncsos,USU_consos,USU_Proj. SOS,USU_Proj. Noncon SOS,USU_Proj. Con SOS,USU_elite SOS,USU_elite noncon SOS,USU_Opp OE,USU_Opp DE,USU_Opp Proj. OE,USU_Opp Proj DE,USU_Con Adj OE,USU_Con Adj DE,USU_Qual O,USU_Qual D,USU_Qual Barthag,USU_Qual Games,USU_FUN,USU_ConPF,USU_ConPA,USU_ConPoss,USU_ConOE,USU_ConDE,USU_ConSOSRemain,USU_Conf Win%,USU_WAB,USU_WAB Rk,"USU_Fun Rk, adjt",USU_ new
194,San Diego,WCC,11-18,102.4254282405143,168,105.10205624896926,223,0.4263732868789754,194,11,18,7,9,7-9,0.5070627611999842,0.456163378355704,0.5427318024439599,0.5070627611999842,0.456163378355704,0.5427318024439599,0.8416219736481136,0.8823543742927508,102.7340022619318,102.22096642780178,102.7340022619318,102.22096642780178,102.85448717933552,102.90370683585492,101.88154881053876,106.46985803642526,0.3759938819359927,5,-0.0671814641960263,1085.0,1153.0,1076.8625000000002,1.007556675062972,1.0707030841913427,0,0.4375,-10.865742695338444,232,302,65.30758727840772,H,W,122,Utah St.,WAC,20-16,107.44089597513027,86,102.9158151163991,183,0.6212459512681203,122,20,16,8,6,8-6,0.4798608915645123,0.4808416883159813,0.486569822757946,0.4798608915645123,0.4808416883159813,0.486569822757946,0.8742168934251717,0.8519258623400481,102.98917239175384,103.5942732700698,102.98917239175384,103.5942732700698,106.69012892076826,103.13968687990317,112.1514492001464,100.04799669985664,0.7880651199023258,2,-0.0778523282006702,936.0,897.0,863.6875000000001,1.083725305738476,1.0385700846660393,0,0.5714285714285714,-8.28452236144513,182,316,62.1056849320094
61,BYU,WCC,24-9,104.89663519553088,126,93.86445148072266,28,0.782095945929636,61,24,9,12,4,12-4,0.5409969892435578,0.5306742720452803,0.4991135956680032,0.5409969892435578,0.5306742720452803,0.4991135956680032,0.8098261493650829,0.8129158359584537,105.0941901985844,103.30614613137304,105.0941901985844,103.30614613137304,104.8637675079734,93.0206252015431,121.24400609227696,115.47242956811888,0.6366591208454002,7,0.0487234999518624,1266.0,1110.0,1180.475,1.0724496495054958,0.9402994557275672,0,0.75,0.4155457041288644,52,60,71.80985112028392,H,W,122,Utah St.,WAC,20-16,107.44089597513027,86,102.9158151163991,183,0.6212459512681203,122,20,16,8,6,8-6,0.4798608915645123,0.4808416883159813,0.486569822757946,0.4798608915645123,0.4808416883159813,0.486569822757946,0.8742168934251717,0.8519258623400481,102.98917239175384,103.5942732700698,102.98917239175384,103.5942732700698,106.69012892076826,103.13968687990317,112.1514492001464,100.04799669985664,0.7880651199023258,2,-0.0778523282006702,936.0,897.0,863.6875000000001,1.083725305738476,1.0385700846660393,0,0.5714285714285714,-8.28452236144513,182,316,62.1056849320094
124,Weber St.,BSky,23-7,109.73602200626242,57,105.31382121603258,230,0.6161005896689603,124,23,7,14,2,14-2,0.3980393711321373,0.4989588696732688,0.3067911356848852,0.3980393711321373,0.4989588696732688,0.3067911356848852,0.8848852603363399,0.8188129913844856,101.03562085331662,105.50117958726706,101.03562085331662,105.50117958726706,109.65507066573406,102.74667005908638,102.93104823024868,110.38730660419098,0.309114586149586,3,0.0887970512970742,1231.0,1072.0,1065.5,1.1553261379633974,1.006100422336931,0,0.875,-0.9019958084050828,71,22,65.61888163790583,A,L,122,Utah St.,WAC,20-16,107.44089597513027,86,102.9158151163991,183,0.6212459512681203,122,20,16,8,6,8-6,0.4798608915645123,0.4808416883159813,0.486569822757946,0.4798608915645123,0.4808416883159813,0.486569822757946,0.8742168934251717,0.8519258623400481,102.98917239175384,103.5942732700698,102.98917239175384,103.5942732700698,106.69012892076826,103.13968687990317,112.1514492001464,100.04799669985664,0.7880651199023258,2,-0.0778523282006702,936.0,897.0,863.6875000000001,1.083725305738476,1.0385700846660393,0,0.5714285714285714,-8.28452236144513,182,316,62.1056849320094
239,Southern Utah,Sum,12-17,98.09608763373838,257,104.09923508503957,206,0.3355770910016214,239,12,17,8,10,8-10,0.4514077485178613,0.3732028905320126,0.4660759513548542,0.4514077485178613,0.3732028905320126,0.4660759513548542,0.8733867935381417,0.8774187680731431,104.38639435816064,106.68533788774788,104.38639435816064,106.68533788774788,96.17496481105456,99.5689796083013,80.41685593056172,95.54003422639322,0.1211379514914104,2,0.0020005942570563,1171.0,1203.0,1175.475,0.9961930283502411,1.023416065845722,0,0.4444444444444444,-10.92121379101099,233,165,62.85797617603885,H,W,122,Utah St.,WAC,20-16,107.44089597513027,86,102.9158151163991,183,0.6212459512681203,122,20,16,8,6,8-6,0.4798608915645123,0.4808416883159813,0.486569822757946,0.4798608915645123,0.4808416883159813,0.486569822757946,0.8742168934251717,0.8519258623400481,102.98917239175384,103.5942732700698,102.98917239175384,103.5942732700698,106.69012892076826,103.13968687990317,112.1514492001464,100.04799669985664,0.7880651199023258,2,-0.0778523282006702,936.0,897.0,863.6875000000001,1.083725305738476,1.0385700846660393,0,0.5714285714285714,-8.28452236144513,182,316,62.1056849320094
319,Texas A&M Corpus Chris,Slnd,6-24,89.298500443499,334,106.04016143672874,251,0.1217371300203023,319,6,24,4,12,4-12,0.4443810807653712,0.530997816637902,0.3685914368769067,0.4443810807653712,0.530997816637902,0.3685914368769067,0.8790181865765336,0.8302069385294538,100.3349400299588,102.79499327985268,100.3349400299588,102.79499327985268,90.78992257229427,109.61015736158522,97.01138579303188,102.91333913029231,0.336444894509457,1,9.264366334590934e-05,975.0,1109.0,1059.4,0.920332263545403,1.0468189541249764,0,0.25,-17.95116944397962,324,173,64.99845596449313,A,L,122,Utah St.,WAC,20-16,107.44089597513027,86,102.9158151163991,183,0.6212459512681203,122,20,16,8,6,8-6,0.4798608915645123,0.4808416883159813,0.486569822757946,0.4798608915645123,0.4808416883159813,0.486569822757946,0.8742168934251717,0.8519258623400481,102.98917239175384,103.5942732700698,102.98917239175384,103.5942732700698,106.69012892076826,103.13968687990317,112.1514492001464,100.04799669985664,0.7880651199023258,2,-0.0778523282006702,936.0,897.0,863.6875000000001,1.083725305738476,1.0385700846660393,0,0.5714285714285714,-8.28452236144513,182,316,62.1056849320094
164,Idaho,WAC,17-14,105.94797974315428,111,105.6092824815046,241,0.5092045570883958,164,17,14,9,5,9-5,0.4922680437369196,0.4698560904559616,0.5021931801201601,0.4922680437369196,0.4698560904559616,0.5021931801201601,0.8644398622397906,0.8610287002044857,103.28968868995224,103.62092375188088,103.28968868995224,103.62092375188088,103.65773221643693,104.84001863843832,108.12746224348416,101.69539518062204,0.6693574205023338,1,0.0343314988716351,938.0,945.0,894.2124999999999,1.0489676670813706,1.0567957839998885,0,0.6428571428571429,-6.652039402670373,159,95,62.22662949578346,A,W,122,Utah St.,WAC,20-16,107.44089597513027,86,102.9158151163991,183,0.6212459512681203,122,20,16,8,6,8-6,0.4798608915645123,0.4808416883159813,0.486569822757946,0.4798608915645123,0.4808416883159813,0.486569822757946,0.8742168934251717,0.8519258623400481,102.98917239175384,103.5942732700698,102.98917239175384,103.5942732700698,106.69012892076826,103.13968687990317,112.1514492001464,100.04799669985664,0.7880651199023258,2,-0.0778523282006702,936.0,897.0,863.6875000000001,1.083725305738476,1.0385700846660393,0,0.5714285714285714,-8.28452236144513,182,316,62.1056849320094
72,Denver,SB,22-9,110.34408260070656,50,99.83825934271216,116,0.759620205562486,72,22,9,11,5,11-5,0.4550476714212476,0.5189590659927908,0.4095716482037858,0.4550476714212476,0.5189590659927908,0.4095716482037858,0.88449711865446,0.8434473170625112,101.4570314910537,103.4456426361456,101.4570314910537,103.4456426361456,110.57730450538706,99.35338473719258,102.13302456821911,115.98888026218822,0.1880074908943542,1,-0.0468816264797464,1107.0,960.0,995.8625,1.111599241863209,0.9639885024287992,0,0.6875,-2.981311248850069,101,266,60.205430529575665,H,L,122,Utah St.,WAC,20-16,107.44089597513027,86,102.9158151163991,183,0.6212459512681203,122,20,16,8,6,8-6,0.4798608915645123,0.4808416883159813,0.486569822757946,0.4798608915645123,0.4808416883159813,0.486569822757946,0.8742168934251717,0.8519258623400481,102.98917239175384,103.5942732700698,102.98917239175384,103.5942732700698,106.69012892076826,103.13968687990317,112.1514492001464,100.04799669985664,0.7880651199023258,2,-0.0778523282006702,936.0,897.0,863.6875000000001,1.083725305738476,1.0385700846660393,0,0.5714285714285714,-8.28452236144513,182,316,62.1056849320094
264,Pacific,BW,9-19,98.04613521946598,259,106.83193719963336,264,0.2715216527976947,264,9,19,6,10,6-10,0.440468885759589,0.4695977155366144,0.4070664063991119,0.440468885759589,0.4695977155366144,0.4070664063991119,0.8756037951656915,0.8585175585874807,102.73096695319828,105.27450792535775,102.73096695319828,105.27450792535775,99.50521168818224,104.47595096078444,95.35219284481596,100.46389113718348,0.3542197086563485,2,-0.0487590230689294,1013.0,1041.0,1000.8875,1.0121017596882766,1.0400769317230958,0,0.375,-13.336915487496322,283,270,61.602587262137526,A,L,122,Utah St.,WAC,20-16,107.44089597513027,86,102.9158151163991,183,0.6212459512681203,122,20,16,8,6,8-6,0.4798608915645123,0.4808416883159813,0.486569822757946,0.4798608915645123,0.4808416883159813,0.486569822757946,0.8742168934251717,0.8519258623400481,102.98917239175384,103.5942732700698,102.98917239175384,103.5942732700698,106.69012892076826,103.13968687990317,112.1514492001464,100.04799669985664,0.7880651199023258,2,-0.0778523282006702,936.0,897.0,863.6875000000001,1.083725305738476,1.0385700846660393,0,0.5714285714285714,-8.28452236144513,182,316,62.1056849320094
243,Utah Valley,GWC,16-13,98.38766611205172,252,104.46985472156128,208,0.3340762923615904,243,16,13,9,1,9-1,0.3645611374801805,0.4586520140310742,0.1847251822234225,0.3645611374801805,0.4586520140310742,0.1847251822234225,0.9016167169945972,0.86648612454518,98.65105273771908,105.2942086468929,98.65105273771908,105.2942086468929,98.35046271647882,102.86125353129192,79.36820905267729,119.9866314308075,0.0085541483160111,1,0.0499024128959383,733.0,648.0,694.4749999999999,1.055473559163397,0.9330789445264408,0,0.9,-7.605423748187153,176,58,64.9458433694271,H,W,122,Utah St.,WAC,20-16,107.44089597513027,86,102.9158151163991,183,0.6212459512681203,122,20,16,8,6,8-6,0.4798608915645123,0.4808416883159813,0.486569822757946,0.4798608915645123,0.4808416883159813,0.486569822757946,0.8742168934251717,0.8519258623400481,102.98917239175384,103.5942732700698,102.98917239175384,103.5942732700698,106.69012892076826,103.13968687990317,112.1514492001464,100.04799669985664,0.7880651199023258,2,-0.0778523282006702,936.0,897.0,863.6875000000001,1.083725305738476,1.0385700846660393,0,0.5714285714285714,-8.28452236144513,182,316,62.1056849320094
9,Wichita St.,MVC,26-6,116.77911760539055,10,93.57210348005307,24,0.9274287830892792,9,26,6,16,2,16-2,0.6118097080493504,0.6137024863698213,0.5948871736819856,0.6118097080493504,0.6137024863698213,0.5948871736819856,0.8020361913653774,0.7865935620127847,104.84457015944746,100.25855043570196,104.84457015944746,100.25855043570196,117.3177868660917,94.07906059362732,151.8875209863766,121.91055482533608,0.9261024574078556,6,-0.0341426608594906,1385.0,1132.0,1200.9625,1.153241670743258,0.9425773077843812,0,0.8888888888888888,4.432045119123404,17,244,65.64947054043749,A,L,122,Utah St.,WAC,20-16,107.44089597513027,86,102.9158151163991,183,0.6212459512681203,122,20,16,8,6,8-6,0.4798608915645123,0.4808416883159813,0.486569822757946,0.4798608915645123,0.4808416883159813,0.486569822757946,0.8742168934251717,0.8519258623400481,102.98917239175384,103.5942732700698,102.98917239175384,103.5942732700698,106.69012892076826,103.13968687990317,112.1514492001464,100.04799669985664,0.7880651199023258,2,-0.0778523282006702,936.0,897.0,863.6875000000001,1.083725305738476,1.0385700846660393,0,0.5714285714285714,-8.28452236144513,182,316,62.1056849320094
