Date,Opponent,Home/Away,Win/Loss,Score,Game Type,Attendance
2019-10-30,College of Idaho,H,W,103-66,Exhibition,"6,017"
2019-11-05,Montana State,H,W,81-73,Non-Conference,"7,331"
2019-11-08,Weber State,H,W,89-34,Non-Conference,"8,840"
2019-11-12,Denver,H,W,97-56,Non-Conference,"6,504"
2019-11-15,North Carolina A&T,H,W,81-54,Non-Conference,"8,864"
2019-11-18,UTSA,H,W,82-50,Non-Conference,"8,667"
2019-11-22,LSU,N,W,80-78,Jersey Mike's Jamaica Classic,"1,452"
2019-11-24,North Texas,N,W,68-59,Jersey Mike's Jamaica Classic,"1,653"
2019-11-29,St. Mary's,A,L,73-81,Non-Conference,"3,500"
2019-12-04,San Jose State,A,W,71-59,Conference,"2,294"
2019-12-07,Fresno State,H,W,77-70 (OT),Conference,"9,815"
2019-12-10,St. Katherine,H,W,94-49,Non-Conference,"6,006"
2019-12-14,BYU,N,L,64-68,Beehive Classic,"10,291"
2019-12-18,South Florida,N,W,76-74 (OT),Battleground 2k19,712
2019-12-21,Florida,N,W,65-62,Orange Bowl Basketball Classic,"8,927"
2019-12-28,Eastern Oregon,H,W,129-61,Non-Conference,"8,338"
2020-01-01,UNLV,A,L,53-70,Conference,"7,571"
2020-01-04,San Diego State,H,L,68-77,Conference,"10,017"
2020-01-07,Air Force,A,L,60-79,Conference,"4,563"
2020-01-11,Nevada,H,W,80-70,Conference,"8,725"
2020-01-18,Boise State,A,L,83-88,Conference,"6,047"
2020-01-21,Air Force,H,W,72-47,Conference,"8,442"
2020-01-25,Colorado State,H,W,77-61,Conference,"9,791"
2020-01-28,Wyoming,A,W,68-45,Conference,"3,115"
2020-02-01,San Diego State,A,L,68-80,Conference,"12,414"
2020-02-05,UNLV,H,W,69-54,Conference,"8,987"
2020-02-08,Boise State,H,W,70-61,Conference,"10,033"
2020-02-11,Colorado State,A,W,75-72,Conference,"4,038"
2020-02-15,Fresno State,A,W,71-59,Conference,"5,671"
2020-02-19,Wyoming,H,W,78-58,Conference,"9,452"
2020-02-25,San Jose State,H,W,94-56,Conference,"8,925"
2020-02-29,New Mexico,A,L,64-66,Conference,"11,215"
2020-03-05,New Mexico,N,W,75-70,Mountain West Tournament,"7,723"
2020-03-06,Wyoming,N,W,89-82,Mountain West Tournament,"9,630"
2020-03-07,San Diego State,N,W,59-56,Mountain West Tournament,"10,292"
