Date,Opponent,Home/Away,Win/Loss,Score,Game Type,Attendance
2022-11-07,Utah Valley,H,W,75-58,Non-Conference,"7,430"
2022-11-11,Bradley,H,W,84-62,Non-Conference,"6,875"
2022-11-14,Santa Clara,H,W,96-74,Non-Conference,"6,549"
2022-11-17,San Diego,A,W,91-89 (OT),Non-Conference,954
2022-11-22,Oral Roberts,H,W,95-85,Non-Conference,"5,980"
2022-12-01,Utah Tech,H,W,86-81,Non-Conference,"6,777"
2022-12-04,San Francisco,N,W,82-64,Non-Conference,
2022-12-10,Loyola Marymount,N,W,79-67,Non-Conference,
2022-12-15,Westminster,H,W,106-68,Non-Conference,"6,047"
2022-12-19,Weber State,H,L,72-75,Non-Conference,"7,000"
2022-12-22,Seattle,N,W,84-56,Diamond Head Classic,"4,333"
2022-12-23,SMU,N,L,74-77,Diamond Head Classic,"4,070"
2022-12-24,Washington State,N,W,82-73,Diamond Head Classic,
2022-12-31,Fresno State,H,W,67-54,Conference,"6,933"
2023-01-03,Air Force,A,W,77-65,Conference,"1,461"
2023-01-07,Boise State,A,L,59-82,Conference,"12,007"
2023-01-10,Wyoming,H,W,83-63,Conference,"7,890"
2023-01-14,Nevada,A,L,70-85,Conference,"7,315"
2023-01-17,UNLV,H,W,75-71,Conference,"7,611"
2023-01-21,San Jose State,H,W,75-74,Conference,"8,895"
2023-01-24,San Diego State,A,L,75-85,Conference,"12,239"
2023-01-28,Fresno State,A,W,70-53,Conference,"6,817"
2023-01-31,New Mexico,H,W,84-73,Conference,"8,851"
2023-02-04,Colorado State,A,W,88-79,Conference,"6,018"
2023-02-08,San Diego State,H,L,61-63,Conference,"8,765"
2023-02-11,San Jose State,A,L,64-69,Conference,"2,389"
2023-02-14,Air Force,H,W,80-65,Conference,"6,935"
2023-02-18,Nevada,H,W,75-66,Conference,"9,157"
2023-02-21,Wyoming,A,W,65-55,Conference,"3,894"
2023-02-28,UNLV,A,W,91-66,Conference,"5,747"
2023-03-04,Boise State,H,W,86-73,Conference,"9,963"
2023-03-09,New Mexico,N,W,91-76,Mountain West Tournament,
2023-03-10,Boise State,N,W,72-62,Mountain West Tournament,
2023-03-11,San Diego State,N,L,57-62,Mountain West Tournament,
2023-03-16,Missouri,N,L,65-76,NCAA Tournament,"14,896"
