rank,team,conf,record,adjoe,oe Rank,adjde,de Rank,barthag,rank,proj. W,Proj. L,Pro Con W,Pro Con L,Con Rec.,sos,ncsos,consos,Proj. SOS,Proj. Noncon SOS,Proj. Con SOS,elite SOS,elite noncon SOS,Opp OE,Opp DE,Opp Proj. OE,Opp Proj DE,Con Adj OE,Con Adj DE,Qual O,Qual D,Qual Barthag,Qual Games,FUN,ConPF,ConPA,ConPoss,ConOE,ConDE,ConSOSRemain,Conf Win%,WAB,WAB Rk,"Fun Rk, adjt", new
1,Connecticut,BE,31-8,121.47865251307883,3,91.20937434928555,9,0.9642803106614062,1,31,8,13,7,13-7,0.7065881944594934,0.5019260246117685,0.7492342456284502,0.7065881944594934,0.5019260246117685,0.7492342456284502,0.6780967471149563,0.7929986367315464,108.78101416062889,99.04514722438901,108.78101416062889,99.04514722438901,117.72073866307669,94.73894709233355,128.46371377865438,95.20475533441355,0.9690993759863133,18,-0.04634968064703571,1513.0,1367.0,1355.6499999999999,1.1160697820233838,1.0083723674989857,0,0.65,5.033128908513444,13,280,66.72789413345367
2,Alabama,SEC,31-6,116.08134182207522,15,89.02786823026261,3,0.9548442146065292,2,31,6,16,2,16-2,0.738887937560896,0.7037097047443245,0.7485799639173086,0.738887937560896,0.7037097047443245,0.7485799639173086,0.6615262110979417,0.6523203026273477,110.05836160446852,98.36036861411723,110.05836160446852,98.36036861411723,117.91898647929371,87.8628680123749,117.55448099177596,93.74220735568379,0.9310584860186932,19,0.04160784274719409,1495.0,1198.0,1321.825,1.1310120477370302,0.906322697785259,0,0.8888888888888888,10.193101025750297,1,89,72.55142756652904
3,Houston,Amer,33-4,117.30710068289858,13,90.26847979181701,5,0.9531615483029101,3,33,4,17,1,17-1,0.6238630395774696,0.5309681683733404,0.6501121487445383,0.6238630395774696,0.5309681683733404,0.6501121487445383,0.7582018727826894,0.7864290099516885,107.20141033095196,101.30907361584441,107.20141033095196,101.30907361584441,122.07297664404275,94.69896899691538,123.4952188843416,94.92475500039751,0.9537286422358553,12,0.03173427857826072,1392.0,1104.0,1164.8625,1.1949908250973829,0.9477513440427519,0,0.9444444444444444,8.046127743629517,5,111,63.359244474784205
4,UCLA,P12,31-6,114.91465805439842,23,88.4816010901049,2,0.9528464213607734,4,31,6,18,2,18-2,0.6960603085192486,0.5269242687644659,0.7567622865347835,0.6960603085192486,0.5269242687644659,0.7567622865347835,0.7060355258253533,0.8071427449392651,108.9117650999404,99.54468811685659,108.9117650999404,99.54468811685659,112.53352813490223,87.3966436296986,122.26339165957613,96.54671615394523,0.9379486360316245,16,0.011676314267097254,1400.0,1186.0,1311.5499999999997,1.067439289390416,0.9042735694407382,0,0.9,8.402795115776073,4,152,66.07164775419179
5,Tennessee,SEC,25-11,111.2114953977379,57,87.52919111882014,1,0.94012794568445,5,25,11,11,7,11-7,0.6899651794827557,0.5703512102527996,0.7481003553176719,0.6899651794827557,0.5703512102527996,0.7481003553176719,0.7059552870323872,0.7577173774968824,108.77960088826607,99.7557268096339,108.77960088826607,99.7557268096339,112.46359681792494,88.97587535937089,121.15760685910685,95.43474125092744,0.9396002705532771,15,-0.0976801734764241,1250.0,1077.0,1163.4125,1.0744254509900832,0.9257249685730556,0,0.6111111111111112,2.8097385349485284,25,349,65.14669625637008
6,Texas,B12,29-9,116.05752424360674,16,91.76055269456322,10,0.9371086097822867,6,29,9,12,6,12-6,0.7435345822646051,0.5248097362683317,0.8627572141390027,0.7435345822646051,0.5248097362683317,0.8627572141390027,0.6522517260221342,0.8012929376372951,110.60024916806063,98.90823264426722,110.60024916806063,98.90823264426722,115.61246837028587,94.80096668599998,127.57989302061435,101.4421805256567,0.9331689598649655,25,0.02259702262522334,1368.0,1301.0,1281.2499999999998,1.067707317073171,1.0154146341463417,0,0.6666666666666666,7.532983280881999,8,131,68.48438920120003
7,Purdue,B10,29-6,117.87095446263862,10,93.71080418932098,21,0.933257218699407,7,29,6,15,5,15-5,0.7027561267146984,0.5459544012088826,0.7884665262214565,0.7027561267146984,0.5459544012088826,0.7884665262214565,0.6974520747253484,0.7753464343054272,109.73953298283467,100.30503012648747,109.73953298283467,100.30503012648747,118.43905270782753,93.43339068742249,133.041108065865,103.99050751256249,0.9444397165735693,17,0.058492589921792515,1418.0,1282.0,1274.25,1.1128114577202275,1.0060820090249165,0,0.75,9.389752975028708,3,53,63.9271455648247
8,Arizona,P12,28-7,119.35198535144005,6,95.41287260402116,34,0.9291977025227836,8,28,7,14,6,14-6,0.687528843347683,0.5895469156832166,0.7162251975448759,0.687528843347683,0.5895469156832166,0.7162251975448759,0.7066616547561386,0.7590732824640014,107.2266709055541,98.1935696376537,107.2266709055541,98.1935696376537,116.74989959887021,96.17639421436846,123.85809818244306,97.04160833560302,0.9429971544902004,13,0.034864160005304345,1551.0,1419.0,1423.5500000000002,1.0895296968845491,0.9968037652348002,0,0.7,7.570797111701362,7,101,72.16694034889832
9,Gonzaga,WCC,31-6,123.16706689087718,1,98.98630075610306,78,0.9250788481521716,9,31,6,14,2,14-2,0.6620908553129843,0.6115810441001108,0.643381263439252,0.6620908553129843,0.6115810441001108,0.643381263439252,0.7128568553657266,0.7178113126860735,110.0323066325727,100.79496631613455,110.0323066325727,100.79496631613455,125.50042138362382,101.59258784412211,130.78306777610774,103.40276019079019,0.9371118986199684,13,0.07960349378018672,1431.0,1216.0,1153.7124999999999,1.2403436731421391,1.0539887536973034,0,0.875,6.644952532855834,9,28,70.1224827817764
10,Saint Mary's,WCC,27-8,112.06098675972991,44,90.48392804142401,6,0.9212545975976693,10,27,8,14,2,14-2,0.6476016802724145,0.5980415488341614,0.6403597291602354,0.6476016802724145,0.5980415488341614,0.6403597291602354,0.7596654974352394,0.8046545862126956,109.79080060920816,101.75554236824723,109.79080060920816,101.75554236824723,114.7433485860792,90.3047557670592,125.74428408984738,102.77313285465195,0.9105080010815324,7,-0.02363724862358929,1183.0,970.0,1026.0374999999997,1.152979301438788,0.945384549784974,0,0.875,3.404187397531942,23,226,61.902556869883966
11,San Diego St.,MWC,32-7,110.77338302386698,61,89.52728852782471,4,0.9204769451772101,11,32,7,15,3,15-3,0.7083064457114093,0.6334766963818187,0.700656717610067,0.7083064457114093,0.6334766963818187,0.700656717610067,0.7142288464146184,0.7529875304998508,110.24491145716487,99.69086617701369,110.24491145716487,99.69086617701369,115.47191792680866,92.80247730862293,129.39180341910878,107.03822566097278,0.898537457053976,13,0.06595501983852603,1282.0,1147.0,1158.95,1.1061736917036973,0.9896889425773329,0,0.8333333333333334,5.654292342654374,10,45,65.69297888771952
12,Marquette,BE,29-7,118.71228090386427,8,96.03204562794451,41,0.9196971527518727,12,29,7,17,3,17-3,0.6940083321294479,0.5211988584885034,0.7538263244246093,0.6940083321294479,0.5211988584885034,0.7538263244246093,0.6931327941457582,0.8104679663610915,109.02441465915064,99.62421691453727,109.02441465915064,99.62421691453727,120.79789359977138,98.18056079125677,130.2500012619836,100.99253093250817,0.949102595168816,14,0.07490354835893842,1607.0,1458.0,1399.8,1.1480211458779825,1.0415773681954565,0,0.85,7.827454351328102,6,32,68.38038977916031
13,Creighton,BE,24-13,115.00113876087008,21,93.24520489015595,15,0.9177119789333884,13,24,13,14,6,14-6,0.7318135875655345,0.6315983216312451,0.7540297016805894,0.7318135875655345,0.6315983216312451,0.7540297016805894,0.66841688669499,0.7267581184769166,110.54484170666379,99.11339199779532,110.54484170666379,99.11339199779532,115.36802994339865,91.44688612629844,120.46774083031755,100.51398423030477,0.889188543415085,16,-0.056245717200907874,1524.0,1343.0,1384.7624999999996,1.1005497332575085,0.9698413987958227,0,0.7,2.1580764538992336,29,299,67.68228429397473
14,Kansas,B12,28-8,113.79333571541237,31,92.2701956933127,13,0.9176714836742063,14,28,8,13,5,13-5,0.7766037408991676,0.6459843928365626,0.8649741110210191,0.7766037408991676,0.6459843928365626,0.8649741110210191,0.6239016574221287,0.7285320303396744,110.43683084753272,97.0258896536678,110.43683084753272,97.0258896536678,113.25013768001122,94.35273515344964,119.41900812493745,96.69681879005849,0.9188755003522107,24,0.113033336807983,1320.0,1275.0,1264.2499999999998,1.0440972908839234,1.008503065058335,0,0.7222222222222222,10.072028155766924,2,12,69.0310302849502
15,Duke,ACC,27-9,113.3008105088681,33,92.92870831187408,14,0.9071613718181094,15,27,9,14,6,14-6,0.6743906916446204,0.5563067022142236,0.6982478368127334,0.6743906916446204,0.5563067022142236,0.6982478368127334,0.724901463436534,0.7772735469611333,109.47629545959313,101.04379533277599,109.47629545959313,101.04379533277599,110.13273905270711,95.2611136671333,107.92848103294806,94.30882606470198,0.8250986946836715,13,0.011938775236535304,1423.0,1333.0,1321.65,1.0766844474709643,1.0085877501607838,0,0.7,4.501962063522397,16,149,64.87122401414874
16,Memphis,Amer,26-9,115.35229414757006,20,95.00965736040155,30,0.9030114056517231,16,26,9,13,5,13-5,0.6786695561107228,0.6419625491012938,0.6726241997450572,0.6786695561107228,0.6419625491012938,0.6726241997450572,0.7217406860009387,0.7350316892240012,108.12715883998067,99.78918435156339,108.12715883998067,99.78918435156339,114.24742782788036,98.65251114893539,132.7790901382163,105.03823651447254,0.936740844258995,9,0.015828333114316195,1465.0,1368.0,1337.3374999999999,1.0954601960985915,1.0229280192920636,0,0.7222222222222222,4.717388172723993,15,142,70.99855931791511
17,Baylor,B12,23-11,121.68920200785655,2,100.60664114136048,102,0.899157469873652,17,23,11,11,7,11-7,0.7419806954370908,0.5555265724870134,0.867076840862962,0.7419806954370908,0.5555265724870134,0.867076840862962,0.634547531601832,0.7494112144254002,109.7056362992961,97.7668311701955,109.7056362992961,97.7668311701955,125.3331296597982,101.28119761122306,131.5159759035151,110.55709060208619,0.8804140900047582,22,0.0436403691366114,1361.0,1321.0,1208.9625,1.1257586566994426,1.0926724360763878,0,0.6111111111111112,5.234831763234138,12,86,66.87787082356172
