Date,Opponent,Home/Away,Win/Loss,Score,Game Type,Attendance
2017-11-03,University of Providence,H,W,98-54,Exhibition,"6,201"
2017-11-10,Weber State,A,L,59-65,Non-Conference,"8,592"
2017-11-13,Montana State,H,W,81-73,Non-Conference,"7,154"
2017-11-15,Mississippi Valley State,H,W,83-47,Non-Conference,"7,244"
2017-11-18,Gonzaga,A,L,66-79,Non-Conference,"6,000"
2017-11-20,Portland State,A,L,79-83,Non-Conference,804
2017-11-24,Northeastern,N,W,71-67,Non-Conference,400
2017-11-25,New Hampshire,N,W,77-63,Non-Conference,400
2017-11-28,Valparaiso,A,L,65-72,Non-Conference,"2,949"
2017-12-02,BYU,H,L,66-75,Non-Conference,"10,206"
2017-12-06,UC Irvine,H,W,62-59,Non-Conference,"5,443"
2017-12-09,Utah,N,L,67-77,Beehive Classic,"7,729"
2017-12-16,Life Pacific College,H,W,96-62,Non-Conference,"6,342"
2017-12-20,Youngstown State,H,W,91-74,Non-Conference,"6,054"
2017-12-27,San Jose State,H,W,86-72,Conference,"6,759"
2017-12-30,San Diego State,A,L,59-79,Conference,"12,414"
2018-01-03,Fresno State,H,W,81-79 (OT),Conference,"8,276"
2018-01-06,UNLV,A,W,85-78,Conference,"12,386"
2018-01-10,Colorado State,H,L,75-84,Conference,"6,144"
2018-01-13,Nevada,A,L,57-83,Conference,"9,976"
2018-01-17,Boise State,A,L,67-71,Conference,"7,002"
2018-01-20,Wyoming,H,L,77-85,Conference,"7,148"
2018-01-24,Air Force,H,W,71-49,Conference,"6,974"
2018-01-27,Fresno State,A,W,65-62,Conference,"7,317"
2018-01-31,New Mexico,H,W,89-80,Conference,"6,345"
2018-02-07,Wyoming,A,L,65-83,Conference,"4,672"
2018-02-10,Boise State,H,W,71-65,Conference,"8,421"
2018-02-14,New Mexico,A,L,63-78,Conference,"9,737"
2018-02-17,Nevada,H,L,87-93,Conference,"5,796"
2018-02-24,Air Force,A,L,65-75,Conference,"3,267"
2018-02-28,San Jose State,A,L,62-64,Conference,"1,761"
2018-03-03,UNLV,H,W,79-67,Conference,"5,853"
2018-03-07,Colorado State,N,W,76-65,Mountain West Tournament,"4,994"
2018-03-08,Boise State,N,W,78-75,Mountain West Tournament,
2018-03-09,New Mexico,N,L,68-83,Mountain West Tournament,"8,224"
