rank,team,conf,record,adjoe,oe Rank,adjde,de Rank,barthag,rank,proj. W,Proj. L,Pro Con W,Pro Con L,Con Rec.,sos,ncsos,consos,Proj. SOS,Proj. Noncon SOS,Proj. Con SOS,elite SOS,elite noncon SOS,Opp OE,Opp DE,Opp Proj. OE,Opp Proj DE,Con Adj OE,Con Adj DE,Qual O,Qual D,Qual Barthag,Qual Games,FUN,ConPF,ConPA,ConPoss,ConOE,ConDE,ConSOSRemain,Conf Win%,WAB,WAB Rk,"Fun Rk, adjt", new
1,Duke,ACC,35-5,121.77708397708577,1,89.13951386737376,6,0.9730873917019718,1,35,5,13,3,13-3,0.7433266615216231,0.594699540434686,0.8398077694456308,0.7433266615216231,0.594699540434686,0.8398077694456308,0.6563323681873393,0.7706868470341937,108.18397654214353,96.62466023634042,108.18397654214353,96.62466023634042,119.73966756577781,88.239237116204,131.4151428692506,95.97093405239359,0.9737792516040821,18,0.01397953085139858,1176.0,991.0,1053.5375000000001,1.1162393365210064,0.940640461302991,0,0.8125,8.414450230380645,3,133,64.7676845983918
2,Kansas,B12,33-3,120.99474073343524,2,91.03983576889408,11,0.9634265611611238,2,33,3,15,1,15-1,0.7149603053132211,0.5669193546821785,0.8260095616364075,0.7149603053132211,0.5669193546821785,0.8260095616364075,0.6712991914803013,0.7913163867501224,108.78970608408122,98.56945899255619,108.78970608408122,98.56945899255619,122.30512986958499,90.14830250336335,132.3458356845991,97.42787967741076,0.9713217738553346,14,0.08961543765004798,1273.0,1074.0,1102.5375000000001,1.1546092536535038,0.9741165266487534,0,0.9375,11.695280949709908,1,18,66.9844721082449
3,Syracuse,BE,30-5,118.54780180113136,6,91.41072731117268,14,0.9520958906868758,3,30,5,15,3,15-3,0.6920826871553476,0.4911609305613221,0.8101360455916073,0.6920826871553476,0.4911609305613221,0.8101360455916073,0.7050055617648884,0.8386166854729544,108.95784387879715,99.74094048037753,108.95784387879715,99.74094048037753,115.58550768839069,90.84591651583472,125.04984087133899,96.00927253057475,0.9543086219003059,15,0.03612844962558903,1389.0,1243.0,1254.2500000000002,1.1074347219453855,0.9910304963125371,0,0.8333333333333334,7.533775379780895,5,82,69.49080254855434
4,Kentucky,SEC,35-3,115.52054627292256,20,89.0870248799583,5,0.9520335788656559,4,35,3,14,2,14-2,0.6846497445074998,0.5202525065084269,0.782582092972186,0.6846497445074998,0.5202525065084269,0.782582092972186,0.743682842771863,0.8790463523540724,107.25125932166328,99.08650029045373,107.25125932166328,99.08650029045373,113.83612555890731,88.13602477074512,109.60293189962456,85.60982362574228,0.9448639402730256,9,0.06990461479528376,1230.0,1069.0,1136.4625,1.082305839391973,0.9406381644796902,0,0.875,8.677504849823457,2,35,68.07200513838939
5,Ohio St.,B10,29-8,118.01154049825291,9,92.76473087991394,23,0.9409348562918673,5,29,8,14,4,14-4,0.6702003432965833,0.4872830813582134,0.7550872574343795,0.6702003432965833,0.4872830813582134,0.7550872574343795,0.6896936663332127,0.7721559966847119,106.68905570516783,98.61482892103241,106.68905570516783,98.61482892103241,114.36484999389108,90.73602217490023,126.36868274369523,97.2905922523146,0.9529013031789191,15,0.01145977458686942,1233.0,1089.0,1138.2625,1.0832299227990028,0.9567213186764916,0,0.7777777777777778,5.625328472273482,8,140,64.54810701777464
6,Kansas St.,B12,28-8,116.94332112928257,14,91.98584212886098,18,0.9405108439650482,6,28,8,11,5,11-5,0.7521383808998168,0.5913222774008525,0.8360890468112009,0.7521383808998168,0.5913222774008525,0.8360890468112009,0.6384216110980074,0.7876655266109179,110.16076832411952,97.30849444668235,110.16076832411952,97.30849444668235,112.73566437641216,89.83232815774531,132.76262603752923,100.89366199981419,0.9591719120998792,18,0.044386598799843746,1228.0,1132.0,1158.8374999999999,1.0596826561101105,0.9768410152415676,0,0.6875,6.7360663149982445,6,65,68.93522540294114
7,Baylor,B12,27-8,120.3972450529747,4,95.25553052063589,48,0.9366530465599152,7,27,8,11,5,11-5,0.7156255958056398,0.48765066277495767,0.8396631281646987,0.7156255958056398,0.48765066277495767,0.8396631281646987,0.6528929888029886,0.8143760586953971,108.65865495802484,97.9960848756119,108.65865495802484,97.9960848756119,120.5923021041187,96.1689440175558,133.64924415859412,102.15042513311359,0.956515044799743,16,0.03729612520173353,1229.0,1124.0,1080.8625000000002,1.1370548982872473,1.0399102568550578,0,0.6875,5.548131394925058,9,80,64.06285890233556
8,West Virginia,BE,31-7,117.25575325652882,12,92.84313539553162,25,0.9361136040220341,8,31,7,13,5,13-5,0.7646252011903393,0.6281944795884531,0.8168127223500877,0.7646252011903393,0.6281944795884531,0.8168127223500877,0.6338807499573105,0.7418664768368405,110.56926145264599,97.53450808649819,110.56926145264599,97.53450808649819,116.79506092175302,93.04077069375633,125.76666032495596,102.14473159912274,0.916248362671433,20,0.09504235971086261,1353.0,1213.0,1204.4875,1.1232993285526003,1.0070673211635655,0,0.7222222222222222,8.024232515700044,4,12,62.047587407543276
9,Wisconsin,B10,24-9,116.07163173947393,18,92.05907340561998,19,0.9349560292498752,9,24,9,13,5,13-5,0.7010485368891926,0.5712680831682,0.7694242588021067,0.7010485368891926,0.5712680831682,0.7694242588021067,0.6889897625093907,0.7751575863882173,108.66176149800869,98.93304660817506,108.66176149800869,98.93304660817506,116.45905928939641,88.90673319134888,146.94188526345476,116.4558709235116,0.9354769953281648,13,-0.03414975533440667,1156.0,983.0,1043.375,1.1079429735234216,0.9421348987660237,0,0.7222222222222222,3.8340902156488084,19,247,58.844328952423105
10,Purdue,B10,29-6,109.24002336170399,69,87.68699007831921,3,0.9260405209548531,10,29,6,14,4,14-4,0.6938721434911456,0.5148285752460273,0.7661574374701197,0.6938721434911456,0.5148285752460273,0.7661574374701197,0.6857928869713612,0.8304903834327458,108.57366130524092,98.7145873364458,108.57366130524092,98.7145873364458,111.66719532993443,88.39632389513463,124.19877348389088,99.21341696803502,0.9297604499415232,15,0.09231736615831099,1214.0,1098.0,1151.3999999999999,1.0543685947542123,0.9536216779572695,0,0.7777777777777778,6.538550558665035,7,14,65.99891224370884
