Date,Opponent,Home/Away,Win/Loss,Score,Game Type,Attendance
2013-10-25,Central Methodist,H,W,108-88,Exhibition,"6,901"
2013-11-01,Adams State,H,W,86-55,Exhibition,"6,561"
2013-11-08,USC,H,W,78-65,Non-Conference,"9,935"
2013-11-12,Southern Utah,H,W,90-57,Non-Conference,"9,540"
2013-11-16,UC Santa Barbara,A,W,71-64,Non-Conference,"2,817"
2013-11-23,Mississippi State,H,W,87-68,Non-Conference,"10,043"
2013-11-26,Weber State,A,W,77-71,Non-Conference,"9,169"
2013-11-30,BYU,N,L,74-85,Non-Conference,"18,235"
2013-12-07,Pacific,H,L,68-78,Non-Conference,"9,558"
2013-12-14,Utah Valley,H,W,71-60,Non-Conference,"9,571"
2013-12-19,Western Illinois,H,W,68-52,Basketball Travelers Classic,"9,447"
2013-12-20,UC Santa Barbara,H,W,77-71 (OT),Basketball Travelers Classic,"9,809"
2013-12-21,Troy,H,W,71-50,Basketball Travelers Classic,"9,704"
2013-12-28,San Diego Christian,H,W,84-53,Non-Conference,"9,851"
2014-01-01,Air Force,A,L,72-73,Conference,"2,223"
2014-01-04,San Jose State,H,W,86-67,Conference,"10,015"
2014-01-11,Nevada,A,L,54-62,Conference,"6,142"
2014-01-15,Colorado State,H,W,57-50,Conference,"9,766"
2014-01-18,Boise State,A,L,74-78,Conference,"7,969"
2014-01-22,UNLV,A,L,42-62,Conference,"12,919"
2014-01-25,San Diego State,H,L,69-74 (OT),Conference,"10,127"
2014-01-28,New Mexico,H,L,65-78,Conference,"9,751"
2014-02-01,Wyoming,A,L,57-74,Conference,"5,981"
2014-02-05,Nevada,H,W,83-75,Conference,"9,950"
2014-02-08,Boise State,H,W,76-70,Conference,"10,011"
2014-02-11,Colorado State,A,W,71-62,Conference,"3,909"
2014-02-15,UNLV,H,L,62-73,Conference,"10,002"
2014-02-18,San Diego State,A,L,45-60,Conference,"12,414"
2014-02-22,Fresno State,H,L,76-79,Conference,"9,939"
2014-02-25,New Mexico,A,L,58-67,Conference,"15,352"
2014-03-01,San Jose State,A,W,75-58,Conference,"1,343"
2014-03-05,Wyoming,H,W,65-54,Conference,"9,909"
2014-03-12,Colorado State,N,W,73-69,Mountain West Tournament,"5,824"
2014-03-13,San Diego State,N,L,39-73,Mountain West Tournament,"9,854"
