Date,Opponent,Home/Away,Win/Loss,Score,Game Type,Attendance
2020-11-25,VCU,N,L,69-85,Bad Boy Mower Crossover Classic,0
2020-11-26,South Dakota State,N,L,59-83,Bad Boy Mower Crossover Classic,0
2020-11-27,Northern Iowa,N,W,82-71,Bad Boy Mower Crossover Classic,0
2020-12-05,BYU,H,L,64-67,Non-Conference,"1,628"
2020-12-08,College of Idaho,H,W,90-64,Non-Conference,"1,324"
2020-12-12,Weber State,A,,-,Non-Conference,
2020-12-15,Dixie State,H,,-,Non-Conference,
2020-12-18,Northern Colorado,H,W,63-50,Non-Conference,"1,376"
2020-12-21,San Jose State,H,W,107-62,Conference,"1,354"
2020-12-23,San Jose State,H,W,85-52,Conference,"1,151"
2020-12-31,Air Force,A,W,83-48,Conference,0
2021-01-02,Air Force,A,W,72-53,Conference,0
2021-01-06,New Mexico,A,W,77-45,Conference,0
2021-01-08,New Mexico,A,W,82-46,Conference,0
2021-01-14,San Diego State,H,W,57-45,Conference,"1,585"
2021-01-16,San Diego State,H,W,64-59,Conference,"1,638"
2021-01-19,Colorado State,H,W,83-64,Conference,"1,553"
2021-01-21,Colorado State,H,L,76-84,Conference,"1,592"
2021-01-25,UNLV,A,L,56-59,Conference,0
2021-01-27,UNLV,A,W,83-74,Conference,30
2021-02-04,Fresno State,A,W,69-53,Conference,0
2021-02-06,Fresno State,A,,-,Conference,
2021-02-10,Wyoming,H,,-,Conference,
2021-02-12,Wyoming,H,,-,Conference,
2021-02-17,Boise State,A,L,70-79,Conference,679
2021-02-19,Boise State,A,L,77-81,Conference,872
2021-02-26,Nevada,H,W,75-72,Conference,"1,633"
2021-02-28,Nevada,H,W,87-66,Conference,"1,527"
2021-03-04,Wyoming,H,W,72-59,Conference,"1,627"
2021-03-06,Fresno State,A,W,57-51,Conference,0
2021-03-11,UNLV,A,W,74-53,Mountain West Tournament,0
2021-03-12,Colorado State,N,W,62-50,Mountain West Tournament,0
2021-03-13,San Diego State,N,L,57-68,Mountain West Tournament,0
2021-03-19,Texas Tech,N,L,53-65,NCAA Tournament,500
