Date,Opponent,Home/Away,Win/Loss,Score,Game Type,Attendance
2014-10-31,Texas A&M International,H,W,77-70,Exhibition,"6,133"
2014-11-07,Arkansas-Fort Smith,H,W,64-57,Exhibition,"7,987"
2014-11-14,Weber State,H,W,72-61,Non-Conference,"9,982"
2014-11-16,Illinois State,A,W,60-55,Non-Conference,"4,921"
2014-11-19,Santa Clara,H,W,60-54,Non-Conference,"9,334"
2014-11-22,Mississippi State,A,L,63-71,Non-Conference,"7,240"
2014-11-26,UC Davis,A,L,70-77 (OT),Non-Conference,"1,877"
2014-12-02,BYU,H,L,81-91,Non-Conference,"10,270"
2014-12-07,USC,A,L,84-89,Non-Conference,"3,189"
2014-12-13,Utah Valley,A,W,50-47,Non-Conference,"6,121"
2014-12-18,Cal State Bakersfield,H,W,57-56,World Vision Classic,"7,049"
2014-12-19,Idaho State,H,W,69-56,World Vision Classic,"7,188"
2014-12-20,South Dakota State,H,L,65-68,World Vision Classic,"7,216"
2014-12-27,Wayland Baptist,H,W,75-63,Non-Conference,"8,627"
2014-12-31,San Jose State,H,W,61-33,Conference,"8,491"
2015-01-03,Boise State,A,W,62-61,Conference,"5,415"
2015-01-07,Fresno State,A,L,52-61,Conference,"5,591"
2015-01-10,New Mexico,H,L,60-66,Conference,"9,898"
2015-01-17,Air Force,H,W,71-59,Conference,"9,885"
2015-01-20,Nevada,A,W,70-54,Conference,"5,318"
2015-01-24,UNLV,A,L,77-79 (OT),Conference,"11,975"
2015-01-27,Wyoming,H,W,56-44,Conference,"9,744"
2015-01-31,San Diego State,A,L,42-62,Conference,"12,414"
2015-02-03,Boise State,H,L,63-68,Conference,"9,378"
2015-02-07,New Mexico,A,W,63-60,Conference,"15,111"
2015-02-10,Nevada,H,W,75-62,Conference,"9,472"
2015-02-18,San Jose State,A,W,76-54,Conference,"1,311"
2015-02-21,Fresno State,H,W,85-79,Conference,"10,218"
2015-02-24,UNLV,H,W,83-65,Conference,"9,503"
2015-02-28,Air Force,A,W,74-60,Conference,"3,072"
2015-03-04,Wyoming,A,L,53-76,Conference,"6,327"
2015-03-07,Colorado State,H,L,70-75,Conference,"10,270"
2015-03-12,Wyoming,N,L,65-67,Mountain West Tournament,"7,308"
