rank,team,conf,record,adjoe,oe Rank,adjde,de Rank,barthag,rank.1,proj. W,Proj. L,Pro Con W,Pro Con L,Con Rec.,sos,ncsos,consos,Proj. SOS,Proj. Noncon SOS,Proj. Con SOS,elite SOS,elite noncon SOS,Opp OE,Opp DE,Opp Proj. OE,Opp Proj DE,Con Adj OE,Con Adj DE,Qual O,Qual D,Qual Barthag,Qual Games,FUN,ConPF,ConPA,ConPoss,ConOE,ConDE,ConSOSRemain,Conf Win%,WAB,WAB Rk,"Fun Rk, adjt", new,Home/Away,Win/Loss,USU_rank,USU_team,USU_conf,USU_record,USU_adjoe,USU_oe Rank,USU_adjde,USU_de Rank,USU_barthag,USU_rank.1,USU_proj. W,USU_Proj. L,USU_Pro Con W,USU_Pro Con L,USU_Con Rec.,USU_sos,USU_ncsos,USU_consos,USU_Proj. SOS,USU_Proj. Noncon SOS,USU_Proj. Con SOS,USU_elite SOS,USU_elite noncon SOS,USU_Opp OE,USU_Opp DE,USU_Opp Proj. OE,USU_Opp Proj DE,USU_Con Adj OE,USU_Con Adj DE,USU_Qual O,USU_Qual D,USU_Qual Barthag,USU_Qual Games,USU_FUN,USU_ConPF,USU_ConPA,USU_ConPoss,USU_ConOE,USU_ConDE,USU_ConSOSRemain,USU_Conf Win%,USU_WAB,USU_WAB Rk,"USU_Fun Rk, adjt",USU_ new
319,Idaho,BSky,8-24,93.714252466614,326,107.23247578413276,279,0.1751423247360843,319,8,24,4,16,4-16,0.4171247642307333,0.3613657244599723,0.4453884598520209,0.4171247642307333,0.3613657244599723,0.4453884598520209,0.905964464454148,0.9219557153800984,101.56190905821884,103.7244827466796,101.56190905821884,103.7244827466796,93.0554922231494,106.79213300573588,0.0,0.0,0.0,0,-0.0353690091241175,1272.0,1473.0,1371.7875,0.9272573193734452,1.07378147125557,0,0.2,-19.08218934359072,341,259,68.68720281622137,H,W,38,Utah St.,MWC,26-8,109.34558292431512,48,94.44837566116612,45,0.8434716964043716,38,26,8,12,6,12-6,0.5336723036714334,0.4732013315334232,0.5673330731937348,0.5336723036714334,0.4732013315334232,0.5673330731937348,0.809766773018118,0.8079646339759071,104.93105593627342,101.46143803491547,104.93105593627342,101.46143803491547,106.68918410426156,93.254646093826,111.65033741538552,97.36644826351132,0.8283870308165961,8,0.022524003752094,1298.0,1172.0,1226.1,1.0586412201288635,0.9558763559252916,0,0.6666666666666666,1.211280379437853,37,120,67.47588941371605
141,Montana,BSky,18-13,102.51855309905623,174,100.01146176148592,132,0.5707050701237438,141,19,12,14,6,14-6,0.4258012341530446,0.4610722383325319,0.4064021818543266,0.4258012341530446,0.4610722383325319,0.4064021818543266,0.8635537698575843,0.7817996290793378,101.767431169974,103.38427990758444,101.767431169974,103.38427990758444,104.10867886785722,99.731541986796,84.78651491290877,90.82431058638517,0.3119345625696518,4,-0.0335839222877137,1482.0,1354.0,1381.0875,1.0730674196964347,0.9803868328400626,0,0.7,-6.822827152940247,157,254,68.19180196204655,H,W,38,Utah St.,MWC,26-8,109.34558292431512,48,94.44837566116612,45,0.8434716964043716,38,26,8,12,6,12-6,0.5336723036714334,0.4732013315334232,0.5673330731937348,0.5336723036714334,0.4732013315334232,0.5673330731937348,0.809766773018118,0.8079646339759071,104.93105593627342,101.46143803491547,104.93105593627342,101.46143803491547,106.68918410426156,93.254646093826,111.65033741538552,97.36644826351132,0.8283870308165961,8,0.022524003752094,1298.0,1172.0,1226.1,1.0586412201288635,0.9558763559252916,0,0.6666666666666666,1.211280379437853,37,120,67.47588941371605
283,Weber St.,BSky,12-20,98.15739153743728,251,108.02287633406335,294,0.2494843800206633,283,12,20,8,12,8-12,0.4433051391347236,0.451737119976192,0.4379560513109714,0.4433051391347236,0.451737119976192,0.4379560513109714,0.8741510961405625,0.8265582186541649,102.01614964173044,102.2118270085176,102.01614964173044,102.2118270085176,99.35372396010796,107.3963661871333,78.16511884224595,112.50843036675217,0.014944515878165,2,0.0157574717692501,1380.0,1462.0,1376.7,1.0023970363913706,1.0619597588436116,0,0.4,-13.90730652154788,281,141,67.25256683967581,H,W,38,Utah St.,MWC,26-8,109.34558292431512,48,94.44837566116612,45,0.8434716964043716,38,26,8,12,6,12-6,0.5336723036714334,0.4732013315334232,0.5673330731937348,0.5336723036714334,0.4732013315334232,0.5673330731937348,0.809766773018118,0.8079646339759071,104.93105593627342,101.46143803491547,104.93105593627342,101.46143803491547,106.68918410426156,93.254646093826,111.65033741538552,97.36644826351132,0.8283870308165961,8,0.022524003752094,1298.0,1172.0,1226.1,1.0586412201288635,0.9558763559252916,0,0.6666666666666666,1.211280379437853,37,120,67.47588941371605
307,Denver,Sum,7-24,94.86749043372984,305,106.94650461911512,275,0.2012904889249203,307,7,24,3,13,3-13,0.4416383521040985,0.456384117861035,0.4176953806792834,0.4416383521040985,0.456384117861035,0.4176953806792834,0.8768418317689273,0.8454586726177319,102.80286309814454,104.61973844830553,102.80286309814454,104.61973844830553,95.5484077431824,106.96322393810968,92.52070897345467,115.14894300498756,0.0747350880201715,2,-0.0837813217040402,1171.0,1271.0,1171.8249999999998,0.9992959699613853,1.0846329443389586,0,0.1875,-18.144955181158895,336,323,70.90943248803343,H,W,38,Utah St.,MWC,26-8,109.34558292431512,48,94.44837566116612,45,0.8434716964043716,38,26,8,12,6,12-6,0.5336723036714334,0.4732013315334232,0.5673330731937348,0.5336723036714334,0.4732013315334232,0.5673330731937348,0.809766773018118,0.8079646339759071,104.93105593627342,101.46143803491547,104.93105593627342,101.46143803491547,106.68918410426156,93.254646093826,111.65033741538552,97.36644826351132,0.8283870308165961,8,0.022524003752094,1298.0,1172.0,1226.1,1.0586412201288635,0.9558763559252916,0,0.6666666666666666,1.211280379437853,37,120,67.47588941371605
274,North Carolina A&T,MEAC,17-15,92.75873863472528,334,101.41918685879251,160,0.263764310947626,274,17,15,12,4,12-4,0.3264909566986625,0.5323282014993566,0.1505254538099833,0.3264909566986625,0.5323282014993566,0.1505254538099833,0.8913983370359452,0.7928063386244236,97.388649563674,105.55272002399566,97.388649563674,105.55272002399566,94.73449981616176,100.37513052157972,95.82041337708024,108.41460944432193,0.1946456344214021,3,0.0219991319221206,1289.0,1159.0,1276.7875,1.0095650215873824,0.9077469821720529,0,0.75,-9.9391111936616,209,122,73.27122311011964,H,W,38,Utah St.,MWC,26-8,109.34558292431512,48,94.44837566116612,45,0.8434716964043716,38,26,8,12,6,12-6,0.5336723036714334,0.4732013315334232,0.5673330731937348,0.5336723036714334,0.4732013315334232,0.5673330731937348,0.809766773018118,0.8079646339759071,104.93105593627342,101.46143803491547,104.93105593627342,101.46143803491547,106.68918410426156,93.254646093826,111.65033741538552,97.36644826351132,0.8283870308165961,8,0.022524003752094,1298.0,1172.0,1226.1,1.0586412201288635,0.9558763559252916,0,0.6666666666666666,1.211280379437853,37,120,67.47588941371605
207,UTSA,CUSA,13-19,104.014045569653,144,107.52648279187576,289,0.4056617084377027,207,13,19,7,11,7-11,0.4764240680060164,0.4208773719511423,0.5165164188047977,0.4764240680060164,0.4208773719511423,0.5165164188047977,0.8593231705676352,0.8455645575126597,101.874493116904,100.68871811118836,101.874493116904,100.68871811118836,104.0772078058073,106.5851135598484,96.63989255224764,104.57792721296566,0.2874461007810867,3,-0.0477081712716835,1382.0,1424.0,1350.6625000000004,1.0232015770038774,1.0542974281139808,0,0.3888888888888889,-12.201918488742066,256,279,72.90759982838549,H,W,38,Utah St.,MWC,26-8,109.34558292431512,48,94.44837566116612,45,0.8434716964043716,38,26,8,12,6,12-6,0.5336723036714334,0.4732013315334232,0.5673330731937348,0.5336723036714334,0.4732013315334232,0.5673330731937348,0.809766773018118,0.8079646339759071,104.93105593627342,101.46143803491547,104.93105593627342,101.46143803491547,106.68918410426156,93.254646093826,111.65033741538552,97.36644826351132,0.8283870308165961,8,0.022524003752094,1298.0,1172.0,1226.1,1.0586412201288635,0.9558763559252916,0,0.6666666666666666,1.211280379437853,37,120,67.47588941371605
43,LSU,SEC,21-10,118.26199768326347,4,102.52338381553476,185,0.8378521547879063,43,21,10,12,6,12-6,0.6760716633355526,0.5727739349254687,0.7506755782983912,0.6760716633355526,0.5727739349254687,0.7506755782983912,0.7554352864415796,0.8178018486284416,105.7084987949438,98.41380862174722,105.7084987949438,98.41380862174722,119.01557871052084,103.65154240100676,125.78465784926271,110.48269212832228,0.8163323656113963,11,0.0191563045268445,1453.0,1391.0,1275.025,1.1395854983235625,1.0909590008039058,0,0.6666666666666666,0.880737795505014,42,130,69.89950885692868,N,W,38,Utah St.,MWC,26-8,109.34558292431512,48,94.44837566116612,45,0.8434716964043716,38,26,8,12,6,12-6,0.5336723036714334,0.4732013315334232,0.5673330731937348,0.5336723036714334,0.4732013315334232,0.5673330731937348,0.809766773018118,0.8079646339759071,104.93105593627342,101.46143803491547,104.93105593627342,101.46143803491547,106.68918410426156,93.254646093826,111.65033741538552,97.36644826351132,0.8283870308165961,8,0.022524003752094,1298.0,1172.0,1226.1,1.0586412201288635,0.9558763559252916,0,0.6666666666666666,1.211280379437853,37,120,67.47588941371605
69,North Texas,CUSA,20-11,111.5776593962696,32,100.32134285030116,141,0.7725800645477237,69,20,11,14,4,14-4,0.5174803611891572,0.5215610011714145,0.5145332323130825,0.5174803611891572,0.5215610011714145,0.5145332323130825,0.8341274413090586,0.7852487184200009,102.51031811502035,100.15572816580604,102.51031811502035,100.15572816580604,112.9822011302166,100.24124158178216,91.86295817420812,88.75363145887766,0.5977227920385322,4,-0.0565234563531288,1309.0,1164.0,1157.4375,1.1309465953885198,1.0056698525838328,0,0.7777777777777778,-3.483230497810915,96,292,62.99390722429678,N,W,38,Utah St.,MWC,26-8,109.34558292431512,48,94.44837566116612,45,0.8434716964043716,38,26,8,12,6,12-6,0.5336723036714334,0.4732013315334232,0.5673330731937348,0.5336723036714334,0.4732013315334232,0.5673330731937348,0.809766773018118,0.8079646339759071,104.93105593627342,101.46143803491547,104.93105593627342,101.46143803491547,106.68918410426156,93.254646093826,111.65033741538552,97.36644826351132,0.8283870308165961,8,0.022524003752094,1298.0,1172.0,1226.1,1.0586412201288635,0.9558763559252916,0,0.6666666666666666,1.211280379437853,37,120,67.47588941371605
292,Mount St. Mary's,NEC,11-21,96.87475099654458,271,107.47418821394211,285,0.2325325941439484,292,11,21,7,11,7-11,0.3443898687897554,0.4017245225279009,0.2964028100695102,0.3443898687897554,0.4017245225279009,0.2964028100695102,0.9045628377793492,0.8504042541964008,99.47854468648032,105.66147075685764,99.47854468648032,105.66147075685764,96.854166758668,108.24240675779232,89.90873285381387,90.02856910513697,0.4961706379567462,2,-0.0785045337810556,1176.0,1208.0,1162.6625,1.0114715147344997,1.0389945491490438,0,0.3888888888888889,-16.36396790407105,319,319,63.17205818472304,A,L,38,Utah St.,MWC,26-8,109.34558292431512,48,94.44837566116612,45,0.8434716964043716,38,26,8,12,6,12-6,0.5336723036714334,0.4732013315334232,0.5673330731937348,0.5336723036714334,0.4732013315334232,0.5673330731937348,0.809766773018118,0.8079646339759071,104.93105593627342,101.46143803491547,104.93105593627342,101.46143803491547,106.68918410426156,93.254646093826,111.65033741538552,97.36644826351132,0.8283870308165961,8,0.022524003752094,1298.0,1172.0,1226.1,1.0586412201288635,0.9558763559252916,0,0.6666666666666666,1.211280379437853,37,120,67.47588941371605
294,San Jose St.,MWC,7-24,96.84758455541092,274,107.51320233234176,288,0.2312147332230659,294,7,24,3,15,3-15,0.5881199088405895,0.524396642693655,0.6333299828105114,0.5881199088405895,0.524396642693655,0.6333299828105114,0.7971300230581609,0.8125918250682385,105.67999849595464,100.9192443158697,105.67999849595464,100.9192443158697,98.36669927545483,106.79116462486138,86.87454235716531,100.2829473894721,0.1610275735164287,4,-0.007704976895206,1280.0,1496.0,1328.2125,0.963701214978778,1.1263257950064467,0,0.1666666666666666,-14.958489399224767,302,199,73.15657035908764,A,W,38,Utah St.,MWC,26-8,109.34558292431512,48,94.44837566116612,45,0.8434716964043716,38,26,8,12,6,12-6,0.5336723036714334,0.4732013315334232,0.5673330731937348,0.5336723036714334,0.4732013315334232,0.5673330731937348,0.809766773018118,0.8079646339759071,104.93105593627342,101.46143803491547,104.93105593627342,101.46143803491547,106.68918410426156,93.254646093826,111.65033741538552,97.36644826351132,0.8283870308165961,8,0.022524003752094,1298.0,1172.0,1226.1,1.0586412201288635,0.9558763559252916,0,0.6666666666666666,1.211280379437853,37,120,67.47588941371605
