RK,Team,Conf,G,ADJOE,ADJDE,BARTHAG,EFG_O,EFGD_O,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,3PR,3PRD,ADJ_T,WAB
35,TCU,B12,28,115.540,98.840,.857835,52.875,49.4118,17.9228,2125,35.422,28.7162,35.1117,34.2220,52.883,49.9153,35.399,32.494,29.9326,34.987,70.257,1.836
36,Boise St.,MWC,26,115.242,98.738,.855136,52.686,49.7132,16.7150,17.2161,32.180,22.84,35.8107,32.7182,52.499,52252,35.2105,30.419,39.5120,36.8157,66.9239,1.243
37,Colorado St.,MWC,27,114.548,98.233,.853837,5525,49.3113,14.949,17.3154,23337,27.5108,31.6219,30.8129,57.510,48.285,34172,34.3213,38.6147,34.268,66.3268,1.340
38,Texas Tech,B12,28,118.419,101.889,.850138,52.686,48.992,16.1109,17176,30.2129,31.2277,34.6131,26.531,51.4139,48.7100,36.258,32.8113,41.182,37.7204,66.5257,1.933
39,Nevada,MWC,28,114.746,98.943,.846739,52.778,4856,14.736,17.6133,28.3206,2795,45.46,33.2198,52.3102,48.695,35.683,31.551,32.6290,41294,67228,2.627
40,Washington St.,P12,29,114.153,98.536,.844240,52.686,46.728,15.787,15.9257,31.984,25.544,32200,33.3204,52.692,4631,35.2105,32.178,31.6304,31.528,65.3311,2.920
41,South Carolina,SEC,28,114.451,98.841,.843141,51.2153,46.931,15.997,14.9307,33.548,27.6114,30.6244,30.9132,51.2145,46.133,34.1167,32.6105,41.958,31.122,63.4352,4.411
42,Oklahoma,B12,28,112.277,97.021,.842742,52.968,46.121,17.9228,16.7202,30.1131,26.165,3776,31.3137,54.535,47.664,33.7185,28.95,38.2153,36.1127,67.2219,1.932
43,Indiana St.,MVC,29,117.427,101.888,.836543,59.51,4997,16.8155,15.9257,23.9316,23.29,33.3158,25.421,622,49.3127,3814,32.281,49.95,34.373,7136,2.428
44,Utah,P12,28,114.450,99.851,.827544,53.549,49.2105,16.3120,14.4323,28.9176,26.677,28306,25.220,53.754,47.558,35.495,34.9250,39.2131,36.7150,69.677,0.555
45,SMU,Amer,27,114.845,100.257,.827045,52116,4615,16.7150,18.969,38.74,31.4288,28.6294,32.4170,51.8121,46.133,35115,30.520,35.3237,37.3189,67.8185,-1.579
46,Iowa,B10,29,120.512,105.2150,.826346,52.968,51.6244,13.67,16.8194,28.6192,31.1274,33.5155,32.8185,53.754,51209,34172,35.1260,29.3337,35.6111,72.119,0.160
47,Seton Hall,BE,28,111.982,98.031,.822747,49.7216,48.992,18.9292,18.1110,36.318,29178,32.1192,26.735,50.7157,47.558,31.4300,33.9184,29.4336,42.6329,66.4264,1.146
48,Virginia,ACC,29,106.5169,93.35,.820048,49.6221,45.912,13.24,2041,25.9283,27.8121,26341,2740,47.2291,45.521,36.546,31.140,31.5307,40.4284,60.5362,1.834
49,Cincinnati,B12,28,111.193,97.525,.818849,49.8211,47.747,18.1242,16.9185,387,24.825,29.9265,28.372,50.3174,46.844,32.6235,32.9119,34.9249,34.167,67.7190,-169
50,Ohio St.,B10,29,115.737,101.786,.815350,50.4188,49.1101,15.158,15.7271,31.789,28.8168,33169,2981,50.6163,47.253,33.3203,35.4279,35.7223,33.454,65.4305,-0.768
51,Utah St.,MWC,26,113.956,100.361,.811251,53.944,48.882,16.2114,16.6213,28.7182,25.236,3852,31.4142,57.213,52.7282,31.5294,281,32.5293,36.8157,69106,3.519
52,Maryland,B10,29,106.3177,93.87,.808152,46.5317,45.710,17.5204,1964,33.254,28.8168,42.612,34.5229,49233,45.215,28.2354,31.346,37.5173,29.411,65.4306,-2.496
53,Pittsburgh,ACC,28,113.659,100.462,.806853,50.5181,48.882,13.812,16.6213,31.984,23.17,31.8209,30107,49.2225,50.9200,34.7135,30.317,44.925,38.9245,66.3265,-0.465
54,Drake,MVC,29,116.134,102.5103,.806754,55.520,50.7187,14.219,17.4149,24.5309,23.17,31.9205,32.1166,56.316,51.2217,36.161,33.2134,39.6116,39.8269,68.1167,0.849
55,Virginia Tech,ACC,28,115.638,102.197,.806655,53.549,50.8193,16.5141,17.2161,25.1296,26.988,32.8178,29.7100,5449,50.9200,35.2105,33.8177,41.763,33.964,67.8182,-1.884
56,Bradley,MVC,29,114.152,100.973,.804456,55.520,48.366,17.8221,1964,29.3156,28.6156,27.9308,34.5229,55.127,46.948,37.425,33.8177,42.551,37.5198,66.5259,-2.189
57,Florida Atlantic,Amer,28,118.322,104.7142,.802457,54.928,49.4118,15.787,16.9185,34.332,30.1229,32.7186,27.143,55.622,49.7145,3666,32.6105,39.6116,36.2131,67.7191,1.242
58,Xavier,BE,28,112.867,99.852,.802358,49.1245,48.366,16.3120,16.3233,32.860,29.5195,31.3227,30.6125,47.8278,47.872,34.5140,32.7111,32.6290,35.7116,7141,-1.681
59,Washington,P12,29,115.736,102.6106,.799659,53.452,49.8140,15.894,15.9257,27.7225,29178,32.6187,33.5206,54.242,49.4133,34.8126,33.7170,36.3205,34.987,71.427,-2.494
60,Oregon,P12,28,113.460,100.871,.795660,52.1109,50.8193,15.261,17.8125,28.9176,26.575,33.8149,32163,51.4139,51.1211,35.588,33.5152,37.2185,35.399,68176,0.556
61,Providence,BE,28,109.4114,97.524,.791061,52.495,47.240,17.7214,17.7128,27250,28.1134,33169,27.551,54.242,45.625,33.3203,33.5152,43.245,33.555,68.5143,1.147
62,Butler,BE,28,113.955,101.683,.788462,51.8130,50.2163,15.261,15.7271,26.8257,28.9171,28.5300,22.96,51.2145,51.1211,35.2105,32.6105,37.8165,38.3225,68.6137,-0.466
63,Mississippi,SEC,28,116.233,103.9130,.784263,51.4142,50151,15.575,18.3101,30.4121,35.2353,34.4135,31.1135,48.9236,49.5139,37.719,34190,33.5277,37175,66.9238,1.341
64,Minnesota,B10,28,114.844,102.7111,.782564,54.731,48.882,17.3188,16250,31.493,29.7205,3699,30.8129,54.535,47.770,36.642,34.2208,39.4123,30.315,67.1223,-1.272
